"","Date","site","TIMESTAMP","RECORD","SM10cm","SM25cm","AirTinst24","AirTavg24","RainTot24","SM10cm24","SM25cm24","SWRad24","LWRad24","RadTot24","WindSpd24","WindDir24"
"1","2017-07-10","SC Outlet","2017-07-10 16:00:00",3775,0.184,0.323,15.1325,15.0645833333333,0,0.185333333333333,0.324791666666667,233.172416666667,-64.3691666666667,168.795208333333,2.70408333333333,121.408333333333
"2","2017-07-12","27","2017-07-12 12:00:00",3819,0.188,0.322,12.3778749583333,12.407625,0,0.185375,0.321458333333333,216.11175,-63.32375,152.788833291667,3.390125,124.366666666667
"3","2017-07-12","48","2017-07-12 14:00:00",3821,0.187,0.321,12.2224582916667,12.2197083333333,0,0.185541666666667,0.321375,203.22425,-62.2158333333333,141.005499958333,3.27941666666667,122.645833333333
"4","2017-07-13","13","2017-07-13 11:00:00",3842,0.188,0.321,12.8688750416667,12.8040417083333,0,0.186041666666667,0.320666666666667,214.249374995417,-69.2320833333333,144.99875,1.52741666666667,108.043333333333
"5","2017-07-14","26","2017-07-14 12:00:00",3867,0.185,0.318,17.0754166666667,16.9304166666667,0,0.185041666666667,0.318291666666667,245.5455,-75.67,169.868083333333,1.5093333375,266.4375
"6","2017-07-14","30","2017-07-14 13:00:00",3868,0.185,0.317,17.31625,17.1595833333333,0,0.184916666666667,0.318166666666667,244.9205,-75.7783333333333,169.13475,1.4942083375,260.9775
"7","2017-07-15","42","2017-07-15 11:00:00",3890,0.185,0.315,21.56,21.55875,0,0.183083333333333,0.314541666666667,243.870541666667,-76.5708333333333,167.29,1.05012501666667,186.604708333333
"8","2017-07-15","53","2017-07-15 13:00:00",3892,0.184,0.314,21.5408333333333,21.6129166666667,0,0.183,0.31425,238.674708333333,-76.0583333333333,162.606666666667,1.02520835,183.981375
"9","2017-07-17","0","2017-07-17 15:00:00",3942,0.185,0.312,11.330416625,11.159166625,0,0.186625,0.313791666666667,154.838083333333,-27.9832500416667,126.852291666667,0.753541675,149.626666666667
"10","2017-07-17","6","2017-07-17 12:00:00",3939,0.187,0.314,10.447916625,10.2962499583333,0,0.186708333333333,0.314,116.27975,-18.6891667083333,97.5897916666667,0.686500008333333,130.41
"11","2017-07-17","9-alt","2017-07-17 11:00:00",3938,0.188,0.314,10.208791625,10.0684999583333,0,0.186666666666667,0.314041666666667,108.450583333333,-16.9362500416667,91.5147916666667,0.689083341666667,123.680833333333
"12","2017-07-20","23","2017-07-20 12:00:00",4011,0.182,0.305,20.72125,20.5908333333333,0,0.18175,0.306416666666667,234.017958295833,-66.30041625,167.71525,1.3865,292.704166666667
"13","2017-07-20","24","2017-07-20 13:00:00",4012,0.181,0.305,20.9229166666667,20.7979166666667,0,0.181666666666667,0.30625,232.9096249625,-66.3570833333333,166.548583333333,1.42191666666667,293.279166666667
"14","2017-07-20","29","2017-07-20 16:00:00",4015,0.179,0.303,21.56375,21.3866666666667,0,0.181333333333333,0.305791666666667,222.480458295833,-65.305,157.17775,1.473875,286.635541666667
"15","2017-07-20","35","2017-07-20 14:00:00",4013,0.18,0.304,21.1604166666667,21.0129166666667,0,0.181541666666667,0.306083333333333,233.5596249625,-66.4820833333333,167.073583333333,1.45783333333333,294.925
"16","2017-07-20","36","2017-07-20 10:00:00",4009,0.183,0.306,20.2629166666667,20.1008333333333,0,0.181958333333333,0.30675,234.967958295833,-66.0533329166667,168.906916666667,1.33991666666667,290.220833333333
"17","2017-07-20","37","2017-07-20 11:00:00",4010,0.182,0.306,20.5070833333333,20.35,0,0.181875,0.306583333333333,234.413791629167,-66.1662495833333,168.244416666667,1.36154166666667,291.995833333333
"18","2017-07-20","38","2017-07-20 14:00:00",4013,0.18,0.304,21.1604166666667,21.0129166666667,0,0.181541666666667,0.306083333333333,233.5596249625,-66.4820833333333,167.073583333333,1.45783333333333,294.925
"19","2017-07-22","10","2017-07-22 17:00:00",4064,0.213,0.331,7.49112508333333,7.273583375,0,0.221833333333333,0.354041666666667,143.764041666667,-39.98125,103.79,1.94241666666667,233.909625004167
"20","2017-07-22","14","2017-07-22 10:00:00",4057,0.22,0.344,4.7777085,4.692833375,3.9,0.227666666666667,0.363875,110.728625,-27.87125,82.86625,2.01775,214.332083333333
"21","2017-07-22","19","2017-07-22 13:00:00",4060,0.217,0.339,5.90766679166667,5.711583375,0,0.225083333333333,0.361416666666667,135.351541666667,-35.022375,100.34,1.83416666666667,240.594583333333
"22","2017-07-22","20","2017-07-22 14:00:00",4061,0.216,0.336,6.41545845833333,6.163208375,0,0.224208333333333,0.36,143.651541666667,-37.2348333333333,106.423333333333,1.80616666666667,235.577541670833
"23","2017-07-22","3","2017-07-22 12:00:00",4059,0.218,0.341,5.451625125,5.301208375,1,0.226,0.362333333333333,128.709041666667,-32.9546666666667,95.7645833333333,1.90708333333333,231.92375
"24","2017-07-22","5","2017-07-22 16:00:00",4063,0.214,0.334,7.127375125,6.92991670833333,0,0.222583333333333,0.356125,144.734875,-39.83125,104.906666666667,1.874,225.313791670833
"25","2017-07-22","8","2017-07-22 16:00:00",4063,0.214,0.334,7.127375125,6.92991670833333,0,0.222583333333333,0.356125,144.734875,-39.83125,104.906666666667,1.874,225.313791670833
"26","2017-07-29","31","2017-07-29 13:00:00",4228,0.2,0.316,15.7966666666667,15.7654166666667,0,0.200625,0.318166666666667,232.232583333333,-74.5541666666667,157.684583333333,1.58225,305.166666666667
"27","2017-07-29","32","2017-07-29 11:00:00",4226,0.201,0.318,15.7220833333333,15.7,0,0.201208333333333,0.31875,231.84925,-74.2254166666667,157.630416666667,1.529,302.804166666667
"28","2017-07-30","57","2017-07-30 12:00:00",4251,0.196,0.313,16.8316666666667,16.7795833333333,0,0.196291666666667,0.313666666666667,217.587875,-67.9983333333333,149.59875,1.71391666666667,296.335916666667
"29","2017-07-30","7","2017-07-30 14:00:00",4253,0.195,0.312,17.00125,16.9258333333333,0,0.195916666666667,0.313333333333333,213.350375,-67.39,145.969583333333,1.69795833333333,285.548416666667
"30","2017-08-01","31","2017-08-01 12:00:00",4299,0.192,0.308,21.1770833333333,20.9525,0,0.191916666666667,0.308791666666667,217.248958333333,-68.54125,148.710416666667,2.31045833333333,165.057666666667
"31","2017-08-01","32","2017-08-01 11:00:00",4298,0.192,0.309,20.9975,20.7220833333333,0,0.192125,0.308958333333333,215.928125,-67.2383333333333,148.689583333333,2.31925,177.2185
"32","2017-08-03","1","2017-08-03 11:00:00",4346,0.19,0.306,17.6008333333333,17.60875,0,0.188625,0.305083333333333,155.65,-45.3191666666667,110.333208333333,2.51912500416667,70.45225
"33","2017-08-03","45","2017-08-03 13:00:00",4348,0.189,0.304,17.4025,17.41375,0,0.188583333333333,0.305,154.004166666667,-43.34,110.666541666667,2.52612500416667,84.5230416666667
"34","2017-08-05","62","2017-08-05 13:00:00",4396,0.204,0.309,7.60320841666667,7.62966679166667,5.7,0.202708333333333,0.307375,56.6797916666667,-2.82879167083333,53.842875,1.4619583375,221.725
"35","2017-08-05","71","2017-08-05 12:00:00",4395,0.204,0.309,7.61320841666667,7.668000125,8.3,0.202166666666667,0.307208333333333,50.2810416666667,-2.64862500416667,47.6270416666667,1.42941667083333,215.379166666667
"36","2017-08-07","SC Outlet","2017-08-07 12:00:00",4443,0.192,0.304,17.8170833333333,17.7166666666667,0,0.1925,0.304041666666667,210.16925,-59.5716666666667,150.600875,1.419291675,270.891666666667
"37","2017-08-09","12-1","2017-08-09 11:00:00",4490,0.189,0.302,19.3841666666667,19.4454166666667,0,0.188041666666667,0.301125,142.01125,-46.0528745833333,95.9456666666667,1.86325,80.3505416666667
"38","2017-08-09","40-alt1","2017-08-09 14:00:00",4493,0.188,0.3,19.22625,19.2454166666667,0,0.187916666666667,0.300958333333333,151.56125,-46.9395416666667,104.6165,1.90579166666667,79.3709583333333
