"","site","loc","trans","date","lat","long","notes","year","campaign","trannum","loc2"
"1","0","NA","SS-0000",2017-07-17,67.33891,-135.90845,NA,"2017","2017synoptic",1,"NA"
"2","1","NA","SS-0000",2017-08-03,67.13112,-136.05009,NA,"2017","2017synoptic",1,"NA"
"3","10","NA","SS-0000",2017-07-22,67.2708,-135.37079,NA,"2017","2017synoptic",1,"NA"
"4","12-1","NA","SS-0000",2017-08-09,67.2702,-135.07635,NA,"2017","2017synoptic",1,"NA"
"5","13","NA","SS-0000",2017-07-13,67.22099,-135.50356,NA,"2017","2017synoptic",1,"NA"
"6","14","NA","SS-0000",2017-07-22,67.34028,-135.07568,NA,"2017","2017synoptic",1,"NA"
"7","19","NA","SS-0000",2017-07-22,67.28463,-135.81267,NA,"2017","2017synoptic",1,"NA"
"8","20","NA","SS-0000",2017-07-22,67.28432,-135.811577,NA,"2017","2017synoptic",1,"NA"
"9","23","NA","SS-0000",2017-07-20,67.42294,-135.76846,NA,"2017","2017synoptic",1,"NA"
"10","24","NA","SS-0000",2017-07-20,67.42281,-135.7681,NA,"2017","2017synoptic",1,"NA"
"11","26","NA","SS-0000",2017-07-14,67.15805,-135.91437,NA,"2017","2017synoptic",1,"NA"
"12","27","NA","SS-0000",2017-07-12,67.14847,-135.73062,NA,"2017","2017synoptic",1,"NA"
"13","29","NA","SS-0000",2017-07-20,67.36329,-136.04463,NA,"2017","2017synoptic",1,"NA"
"14","3","NA","SS-0000",2017-07-22,67.28441,-136.00156,NA,"2017","2017synoptic",1,"NA"
"15","30","NA","SS-0000",2017-07-14,67.16476,-135.89633,NA,"2017","2017synoptic",1,"NA"
"16","31","NA","SS-0000",2017-07-29,67.16723,-135.89769,NA,"2017","2017synoptic",1,"NA"
"17","32","NA","SS-0000",2017-07-29,67.16783,-135.89722,NA,"2017","2017synoptic",1,"NA"
"18","35","NA","SS-0000",2017-07-20,67.31586,-135.55933,NA,"2017","2017synoptic",1,"NA"
"19","36","NA","SS-0000",2017-07-20,67.27912,-135.67836,NA,"2017","2017synoptic",1,"NA"
"20","37","NA","SS-0000",2017-07-20,67.27955,-135.67537,NA,"2017","2017synoptic",1,"NA"
"21","38","NA","SS-0000",2017-07-20,67.36964,-135.65767,NA,"2017","2017synoptic",1,"NA"
"22","40-alt1","NA","SS-0000",2017-08-09,67.13908,-136.01559,NA,"2017","2017synoptic",1,"NA"
"23","42","NA","SS-0000",2017-07-15,67.18324,-135.80646,NA,"2017","2017synoptic",1,"NA"
"24","45","NA","SS-0000",2017-08-03,67.12401,-136.08083,NA,"2017","2017synoptic",1,"NA"
"25","48","NA","SS-0000",2017-07-12,67.17965,-135.73062,NA,"2017","2017synoptic",1,"NA"
"26","5","NA","SS-0000",2017-07-22,67.29549,-135.808,NA,"2017","2017synoptic",1,"NA"
"27","53","NA","SS-0000",2017-07-15,67.17613,-135.7614,NA,"2017","2017synoptic",1,"NA"
"28","57","NA","SS-0000",2017-07-30,67.26318,-135.21683,NA,"2017","2017synoptic",1,"NA"
"29","6","NA","SS-0000",2017-07-17,67.35889,-135.30692,NA,"2017","2017synoptic",1,"NA"
"30","62","NA","SS-0000",2017-08-05,67.21964,-135.50516,NA,"2017","2017synoptic",1,"NA"
"31","7","NA","SS-0000",2017-07-30,67.25775,-135.23975,NA,"2017","2017synoptic",1,"NA"
"32","71","NA","SS-0000",2017-08-05,67.19936,-135.6806,NA,"2017","2017synoptic",1,"NA"
"33","8","NA","SS-0000",2017-07-22,67.33733,-135.91872,NA,"2017","2017synoptic",1,"NA"
"34","9-alt","NA","SS-0000",2017-07-17,67.35922,-135.3075,NA,"2017","2017synoptic",1,"NA"
"35","DC-3","NA","SS-0000",2017-07-27,67.29575,-135.17517,"Scott DC3B","2017","2017transect",1,"NA"
"36","DC-4","NA","SS-0000",2017-07-27,67.32426,-135.13873,"Scott DC4B","2017","2017transect",1,"NA"
"37","HA","DN","TS-3",2016-07-26,67.1533969,-135.683006,NA,"2016","2016transect",2,"DN"
"38","HA","DN","TS-3",2016-08-09,67.1533969,-135.683006,NA,"2016","2016transect",3,"DN"
"39","HA","IN","TS-INFLOW1",2016-06-17,67.153403,-135.683014,NA,"2016","2016transect",1,"IN"
"40","HA","IN","TS-INFLOW1",2016-07-26,67.153403,-135.683014,NA,"2016","2016transect",2,"IN"
"41","HA","IN","TS-INFLOW1",2016-08-09,67.153403,-135.683014,NA,"2016","2016transect",3,"IN"
"42","HA","UP","TS-2",2016-06-17,67.1530089,-135.6853,NA,"2016","2016transect",1,"UP"
"43","HA","UP","TS-2",2016-07-26,67.1530089,-135.6853,NA,"2016","2016transect",2,"UP"
"44","HA","UP","TS-2",2016-08-09,67.1530089,-135.6853,NA,"2016","2016transect",3,"UP"
"45","HA","UP2","TS-2-2",2016-07-26,67.1534499,-135.68332,NA,"2016","2016transect",2,"UP2"
"46","S2","DN","TS-5",2016-06-17,67.158752,-135.663763,NA,"2016","2016transect",1,"DN"
"47","S2","DN","TS-5",2016-07-30,67.158752,-135.663763,NA,"2016","2016transect",2,"DN"
"48","S2","DN","TS-5",2016-08-09,67.158752,-135.663763,NA,"2016","2016transect",3,"DN"
"49","S2","IN","TS-INFLOW2",2016-06-17,67.1586899,-135.664985,NA,"2016","2016transect",1,"IN"
"50","S2","IN","TS-INFLOW2",2016-07-30,67.1586899,-135.664985,NA,"2016","2016transect",2,"IN"
"51","S2","IN","TS-INFLOW2",2016-08-09,67.1586899,-135.664985,NA,"2016","2016transect",3,"IN"
"52","S2","UP","TS-4",2016-06-17,67.158494,-135.664966,NA,"2016","2016transect",1,"UP"
"53","S2","UP","TS-4",2016-07-30,67.158494,-135.664966,NA,"2016","2016transect",2,"UP"
"54","S2","UP","TS-4",2016-08-09,67.158494,-135.664966,NA,"2016","2016transect",3,"UP"
"55","S3","DN","TS-7",2016-07-30,67.160852,-135.650936,"listed as S3DN PROPER in GPS_Data in Google Drive Peel2016 folder","2016","2016transect",2,"DN"
"56","S3","IN","TS-INFLOW3",2016-07-30,67.160749,-135.65178,NA,"2016","2016transect",2,"IN"
"57","S3","UP","TS-6",2016-07-30,67.1606019,-135.652022,NA,"2016","2016transect",2,"UP"
"58","SC Outlet","NA","SS-0000",2017-07-10,67.39014,-134.94226,NA,"2017","2017transect",1,"NA"
"59","SC Outlet","NA","SS-0000",2017-08-07,67.38822,-134.92104,NA,"2017","2017transect",1,"NA"
