"","site","date","slope","time","lat","long","melev_m","mtemp_degC","sdtemp","mDO_perc","sdDOp","mDO_mgL","sdDOmgL","mcond_uscm","sdcond","mpH","sdpH","avgvelocity_ms","Q_m3s","maxdepth_m","avgdepth_m","bankfulwidth_m","wettedwidth_m"
"1","0",2017-07-17,0.078708913450861,1899-12-31 14:31:00,67.33891,135.90845,466,14.8,NA,89,NA,8.95,NA,624,NA,6.95,NA,0.274799654957898,0.0222769597604058,0.15,0.118333333333333,4.87,0.66
"2","1",2017-08-03,0.0847250780442559,1899-12-31 10:35:00,67.13112,136.05009,753,5.3,0,91.7,NA,11.6,NA,150.05,8.41457069611992,5.66,0.763675323681471,0.131841134699892,0.0177505024883564,0.42,0.39,6.5,0.3501
"3","10",2017-07-22,0.0494963332489907,1899-12-31 17:16:00,67.2708,135.37079,241,10.2,NA,95.7,NA,10.72,NA,376.3,NA,7.36,NA,0.429951429980325,0.0672266449303294,0.16,0.12,20.85,1.24
"4","12-1",2017-08-09,0.0787713509849876,1899-12-31 11:07:00,67.2702,135.07635,322,14.05,1.06066017177982,56.6,NA,5.9,NA,424.8,13.0107647738325,6.19,0.29698484809835,0.00209161263334031,3.55574147667852e-05,0.05,0.05,4.65,0.34
"5","13",2017-07-13,0.0700554792582109,1899-12-31 10:50:30,67.22099,135.50356,350,11.2,0,26,NA,2.85,NA,16.45,0.777817459305202,4.635,0.657609306503489,0.234375,0.004640625,0.11,0.11,2.31,0.18
"6","14",2017-07-22,0.0378356590918413,1899-12-31 10:20:00,67.34028,135.07568,52,6,NA,102.8,NA,12.75,NA,512.3,NA,6.96,NA,0.289822098078983,0.0730524894838813,0.17,0.119,9.19,2.05
"7","19",2017-07-22,0.0524348229155489,1899-12-31 13:11:00,67.28463,135.81267,559,6.7,NA,94.7,NA,11.58,NA,243,NA,5.31,NA,0.572848199581106,0.18969048051972,0.34,0.224,5.8,1.33
"8","20",2017-07-22,0.0655878091249966,1899-12-31 14:01:00,67.28432,135.811577,548,7.8,NA,90.6,NA,10.77,NA,239.8,NA,6.3,NA,0.496625648893823,0.0822294640619373,0.16,0.131,4.7,1.22
"9","23",2017-07-20,0.065554663893585,1899-12-31 12:04:00,67.42294,135.76846,505,17,NA,93.1,NA,8.95,NA,1301,NA,6.93,NA,0.153832193076191,0.0253015573325231,0.24,0.161,6.54,1.08
"10","24",2017-07-20,0.0626270223321313,1899-12-31 12:36:00,67.42281,135.7681,508,11.5,NA,83.5,NA,9.1,NA,609.2,NA,7.1,NA,0.048921353553109,0.0044155415215127,0.16,0.11875,3.5,0.88
