,site,Date,D50,psand,date
8,27,71217,34.19230769,0,2017-07-12
21,48,71217,1,63.51118761,2017-07-12
7,26,71417,39.11538462,10.35353535,2017-07-14
11,30,71417,34.3,15.85714286,2017-07-14
19,42,71417,12.92857143,36.57142857,2017-07-14
22,53,71517,31.37272727,4.083333333,2017-07-15
1,0,71717,7.475,47.18614719,2017-07-17
24,6,71717,16.98,37.71428571,2017-07-17
27,9-alt,71717,27.3,37.71428571,2017-07-17
5,23,72017,18.33333333,40.17241379,2017-07-20
6,24,72017,56,4.344827586,2017-07-20
9,29,72017,54.5,0,2017-07-20
14,35,72017,6.8,28.91666667,2017-07-20
15,36,72017,44.42592593,0,2017-07-20
16,37,72017,40.38235294,0,2017-07-20
17,38,72017,16.4,28.83333333,2017-07-20
2,14,72217,41.35714286,27.26315789,2017-07-22
3,19,72217,60.125,33.08,2017-07-22
4,20,72217,15.15714286,35.34482759,2017-07-22
10,3,72217,90.47368421,0,2017-07-22
23,57,73017,1,50.41666667,2017-07-30
25,7,73017,1,69.35294118,2017-07-30
12,31,80117,45.88461538,6.416666667,2017-08-01
13,32,80117,33.40909091,2.714285714,2017-08-01
20,45,80317,35.14,23.41666667,2017-08-03
26,71,80517,12.5,34.14285714,2017-08-05
18,40-alt1,80917,38.5,16.41666667,2017-08-09
