Data from 42SS01BI_071517_1a_Absorbance_19-49-32-795.txt Node	
	
Date: Tue Jul 18 19:49:32 MDT 2017	
User: Tank Lab	
Spectrometer: FLMS01220	
Trigger mode: 0	
Integration Time (sec): 1.000000E-1	
Scans to average: 10	
Electric dark correction enabled: true	
Nonlinearity correction enabled: false	
Boxcar width: 1	
XAxis mode: Wavelengths	
Number of Pixels in Spectrum: 2048	
>>>>>Begin Spectral Data<<<<<	
179.47	-0.022
179.856	-0.022
180.241	0.5741
180.626	0
181.011	0
181.396	0.6094
181.781	0.7198
182.166	0
182.551	0.0137
182.936	0.3235
183.321	0
183.706	0.2676
184.091	0.0257
184.476	0.2543
184.86	0.5022
185.245	-0.3658
185.63	-0.0688
186.015	0.8134
186.399	-0.6942
186.784	0
187.169	0.3923
187.553	0.3491
187.938	0.1404
188.322	0.1211
188.707	0.0666
189.091	0.0619
189.475	0.0703
189.86	0.0817
190.244	0.1055
190.629	0.1257
191.013	0.1471
191.397	0.1634
191.781	0.1751
192.165	0.1941
192.55	0.2147
192.934	0.2431
193.318	0.2523
193.702	0.2548
194.086	0.2513
194.47	0.2495
194.854	0.252
195.238	0.2464
195.622	0.2528
196.006	0.2355
196.389	0.2289
196.773	0.2177
197.157	0.2217
197.541	0.2221
197.924	0.2173
198.308	0.2091
198.692	0.2066
199.075	0.207
199.459	0.2065
199.843	0.1979
200.226	0.1893
200.61	0.1838
200.993	0.1806
201.376	0.1798
201.76	0.1755
202.143	0.1739
202.527	0.1724
202.91	0.1743
203.293	0.1708
203.676	0.1668
204.059	0.1639
204.443	0.1656
204.826	0.1662
205.209	0.1586
205.592	0.1559
205.975	0.1521
206.358	0.1548
206.741	0.1557
207.124	0.157
207.507	0.1584
207.89	0.1552
208.273	0.1554
208.655	0.1512
209.038	0.1482
209.421	0.1443
209.804	0.1462
210.186	0.1464
210.569	0.1459
210.951	0.144
211.334	0.1434
211.717	0.1435
212.099	0.1418
212.482	0.1371
212.864	0.1349
213.246	0.133
213.629	0.1347
214.011	0.1342
214.393	0.133
214.776	0.1309
215.158	0.129
215.54	0.1259
215.922	0.1239
216.305	0.1218
216.687	0.1217
217.069	0.1219
217.451	0.121
217.833	0.1192
218.215	0.1159
218.597	0.1124
218.979	0.1105
219.361	0.111
219.742	0.1084
220.124	0.1075
220.506	0.1038
220.888	0.1035
