OID_,FID_NCSCDv2_Canada_nad83zn8,AREA,PERIMETER,CANADAJAN0,CANADAJAN1,SL,GELISOL_PC,HISTOSOL_P,MOLLISOL_P,VERTISOL_P,ARIDISOL_P,ANDISOL_PC,ENTISOL_PC,ULTISOL_PC,SPODOSOL_P,INCEPTISOL,ALFISOL_PC,NATRIC_PCT,AQU_PCT,WATER_PCT,ROCKLAND_P,GLACIER_PC,MISC_PCT,TURBEL_PCT,ORTHEL_PCT,HISTEL_PCT,TOTAL_PCT,EXTENT,GE_AREA,AL_AREA,EN_AREA,IN_AREA,SP_AREA,NA_AREA,AQ_AREA,VE_AREA,MO_AREA,HI_AREA,AR_AREA,AN_AREA,UL_AREA,GET_AREA,GEO_AREA,GEH_AREA,ROCK_AREA,GLACIER_AR,MISC_AREA,GE_30SOCM,AL_30SOCM,EN_30SOCM,IN_30SOCM,SP_30SOCM,NA_30SOCM,AQ_30SOCM,VE_30SOCM,MO_30SOCM,HI_30SOCM,AR_30SOCM,AN_30SOCM,UL_30SOCM,GET_30SOCM,GEO_30SOCM,GEH_30SOCM,GE_100SOCM,AL_100SOCM,EN_100SOCM,IN_100SOCM,SP_100SOCM,NA_100SOCM,AQ_100SOCM,VE_100SOCM,MO_100SOCM,HI_100SOCM,AR_100SOCM,AN_100SOCM,UL_100SOCM,GET_100SOC,GEO_100SOC,GEH_100SOC,SOCC_30CM,SOCC_100CM,SOIL_AREA,SOCM_30CM,SOCM_100CM,GEHSOCM200,GETSOCM200,GEOSOCM200,NPMSOCM200,HISOCM200,GEHSOCM300,GETSOCM300,GEOSOCM300,NPMSOCM300,HISOCM300,SOCM_200,SOCM_300,SOCC_200,SOCC_300,SOCC200_hg,SOCC300_hg,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length,Shape_Area
1,20121,5161400000.000000000000000,439601.468999999982771,25926.000000000000000,25925.000000000000000,600213,90,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,88,2,0,100,c,4645336500.000000000000000,0.000000000000000,103229700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4542106800.000000000000000,103229700.000000000000000,0.000000000000000,412918800.000000000000000,0.000000000000000,0.000000000000000,34840023750.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,34974222360.000000000000000,10322970.000000000000000,0.000000000000000,65499244650.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,64952127240.000000000000000,20645940.000000000000000,0.000000000000000,6.800000000000000,12.699999999999999,4748566200.000000000000000,34840023750.000000000000000,65499244650.000000000000000,0.000000000000000,132674939628.000000000000000,2841913641.000000000000000,972423774.000000000000000,0.000000000000000,0.000000000000000,126679358652.000000000000000,1921104717.000000000000000,688542099.000000000000000,0.000000000000000,136489277043.000000000000000,129289005468.000000000000000,26.399999999999999,25.000000000000000,287,272,1,,site45,,Y,29.918083815247233,13.105445570871961
2,20124,126450000.000000000000000,246177.046999999991385,25931.000000000000000,25930.000000000000000,615000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,c,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,61,,siteSCoutlet170807,,Y,3668.566383459098233,349905.619668507482857
3,20125,2140700000.000000000000000,266669.311999999976251,25932.000000000000000,25931.000000000000000,610341,94,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,5,0,100,c,2012246720.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1905212320.000000000000000,107034400.000000000000000,0.000000000000000,128441280.000000000000000,0.000000000000000,0.000000000000000,22335938592.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21528899216.000000000000000,813461440.000000000000000,0.000000000000000,46281674560.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43438840896.000000000000000,2761487520.000000000000000,0.000000000000000,10.400000000000000,21.600000000000001,2012246720.000000000000000,22335938592.000000000000000,46281674560.000000000000000,0.000000000000000,55651251867.199996948242188,2946657032.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,53136371604.800003051757812,1991910184.000000000000000,0.000000000000000,0.000000000000000,58597908899.199996948242188,55128281788.800003051757812,27.399999999999999,25.800000000000001,291,274,47,,S3DNTS7160730,,Y,722.493452136055566,3981.902690391064425
4,20125,2140700000.000000000000000,266669.311999999976251,25932.000000000000000,25931.000000000000000,610341,94,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,5,0,100,c,2012246720.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1905212320.000000000000000,107034400.000000000000000,0.000000000000000,128441280.000000000000000,0.000000000000000,0.000000000000000,22335938592.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21528899216.000000000000000,813461440.000000000000000,0.000000000000000,46281674560.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43438840896.000000000000000,2761487520.000000000000000,0.000000000000000,10.400000000000000,21.600000000000001,2012246720.000000000000000,22335938592.000000000000000,46281674560.000000000000000,0.000000000000000,55651251867.199996948242188,2946657032.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,53136371604.800003051757812,1991910184.000000000000000,0.000000000000000,0.000000000000000,58597908899.199996948242188,55128281788.800003051757812,27.399999999999999,25.800000000000001,291,274,48,,site71,,Y,3633.290435969961891,328070.610711237473879
5,20125,2140700000.000000000000000,266669.311999999976251,25932.000000000000000,25931.000000000000000,610341,94,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,5,0,100,c,2012246720.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1905212320.000000000000000,107034400.000000000000000,0.000000000000000,128441280.000000000000000,0.000000000000000,0.000000000000000,22335938592.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21528899216.000000000000000,813461440.000000000000000,0.000000000000000,46281674560.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43438840896.000000000000000,2761487520.000000000000000,0.000000000000000,10.400000000000000,21.600000000000001,2012246720.000000000000000,22335938592.000000000000000,46281674560.000000000000000,0.000000000000000,55651251867.199996948242188,2946657032.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,53136371604.800003051757812,1991910184.000000000000000,0.000000000000000,0.000000000000000,58597908899.199996948242188,55128281788.800003051757812,27.399999999999999,25.800000000000001,291,274,49,,site62,,Y,10889.700180706724495,1869021.932427491294220
6,20125,2140700000.000000000000000,266669.311999999976251,25932.000000000000000,25931.000000000000000,610341,94,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,5,0,100,c,2012246720.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1905212320.000000000000000,107034400.000000000000000,0.000000000000000,128441280.000000000000000,0.000000000000000,0.000000000000000,22335938592.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21528899216.000000000000000,813461440.000000000000000,0.000000000000000,46281674560.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43438840896.000000000000000,2761487520.000000000000000,0.000000000000000,10.400000000000000,21.600000000000001,2012246720.000000000000000,22335938592.000000000000000,46281674560.000000000000000,0.000000000000000,55651251867.199996948242188,2946657032.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,53136371604.800003051757812,1991910184.000000000000000,0.000000000000000,0.000000000000000,58597908899.199996948242188,55128281788.800003051757812,27.399999999999999,25.800000000000001,291,274,50,,site13,,Y,8995.516517439187737,2257419.096685689873993
7,20154,1509800000.000000000000000,272506.125000000000000,25982.000000000000000,25981.000000000000000,610343,90,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,88,2,0,100,c,1358755200.000000000000000,0.000000000000000,30194560.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1328560640.000000000000000,30194560.000000000000000,0.000000000000000,120778240.000000000000000,0.000000000000000,0.000000000000000,10190664000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10229916928.000000000000000,3019456.000000000000000,0.000000000000000,19158448320.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18998417152.000000000000000,6038912.000000000000000,0.000000000000000,6.700000000000000,12.699999999999999,1388949760.000000000000000,10190664000.000000000000000,19158448320.000000000000000,0.000000000000000,38807256294.400001525878906,831256236.799999952316284,284432755.199999988079071,0.000000000000000,0.000000000000000,37053556249.599998474121094,561920761.600000023841858,201397715.199999988079071,0.000000000000000,39922945286.400001525878906,37816874726.400001525878906,26.399999999999999,25.000000000000000,287,272,1,,site45,,Y,18993.270649151603720,11121179.202009705826640
8,20191,122340000.000000000000000,127625.008000000001630,26032.000000000000000,26031.000000000000000,610339,23,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,23,0,100,c,28137188.000000000000000,0.000000000000000,94198412.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28137188.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25323469.199999999254942,0.000000000000000,536930948.399999976158142,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25323469.199999999254942,0.000000000000000,92852720.400000005960464,0.000000000000000,1554273798.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,92852720.400000005960464,0.000000000000000,4.600000000000000,13.500000000000000,122335600.000000000000000,562254417.600000023841858,1647126518.400000095367432,0.000000000000000,0.000000000000000,774616785.600000023841858,887349041.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,523633068.699999988079071,628303408.000000000000000,0.000000000000000,1661965826.599999904632568,1151936476.700000047683716,13.600000000000000,9.400000000000000,136,94,61,,siteSCoutlet170807,,Y,8571.771697218191548,1268509.406377610750496
9,20303,348540000.000000000000000,84058.875000000000000,26192.000000000000000,26191.000000000000000,610342,80,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,78,2,0,100,c,278837920.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,271866972.000000000000000,6970948.000000000000000,0.000000000000000,69709480.000000000000000,0.000000000000000,0.000000000000000,3541241584.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3534270636.000000000000000,38340214.000000000000000,0.000000000000000,6831529040.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6687927511.199999809265137,128962538.000000000000000,0.000000000000000,10.199999999999999,19.600000000000001,278837920.000000000000000,3541241584.000000000000000,6831529040.000000000000000,0.000000000000000,7941234252.100000381469727,191910198.400000005960464,0.000000000000000,0.000000000000000,0.000000000000000,7582369849.100000381469727,129729342.299999997019768,0.000000000000000,0.000000000000000,8133144450.500000000000000,7712099191.399999618530273,23.300000000000001,22.100000000000001,292,277,1,,site45,,Y,4805.175252337749953,155727.231306848669192
10,20303,348540000.000000000000000,84058.875000000000000,26192.000000000000000,26191.000000000000000,610342,80,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,78,2,0,100,c,278837920.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,271866972.000000000000000,6970948.000000000000000,0.000000000000000,69709480.000000000000000,0.000000000000000,0.000000000000000,3541241584.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3534270636.000000000000000,38340214.000000000000000,0.000000000000000,6831529040.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6687927511.199999809265137,128962538.000000000000000,0.000000000000000,10.199999999999999,19.600000000000001,278837920.000000000000000,3541241584.000000000000000,6831529040.000000000000000,0.000000000000000,7941234252.100000381469727,191910198.400000005960464,0.000000000000000,0.000000000000000,0.000000000000000,7582369849.100000381469727,129729342.299999997019768,0.000000000000000,0.000000000000000,8133144450.500000000000000,7712099191.399999618530273,23.300000000000001,22.100000000000001,292,277,2,,site1,,Y,6129.190582904125222,957737.635043141315691
