OID_,FID_NHN_Lakes_Project_nad83zn8_SS2017update_clip_revsite10poly,nid,validityDate,acquisitionTechnique,datasetName,planimetricAccuracy,provider,completelyCover,waterDefinition,isolated,permanency,geographicalNameDB,lakeId1,lakeId2,riverId1,riverId2,lakeName1,lakeName2,riverName1,riverName2,idDate,nameDate,waterDefinitionText,ModifiedbySarah,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,115706.938071996279177,104362674.604557529091835
2,1,e0b81b6661ca456b89431e1d576c8ca1,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,748.872376196394839,23916.421718676469027
3,2,562ef6e52437462ab4b1d6099153d3c1,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,526.281892941730348,15872.768052140005238
4,3,f153fe27bc0940e99f9d840524ebc971,20000831,5,10MC002,30,2,1,4,1,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,116.258940306579944,958.300971944875869
5,4,ac054146967844ab824bd11b07ef0fe4,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,476.452496266724552,9476.758565161791921
6,5,80b81e7f556f4c2482de1407a2430707,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,746.412516886636809,30957.250399335222028
7,6,ffb74a0d51834daa87e402ff071f9419,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,831.419243246174801,34768.816027092572767
8,7,e02b122cd2e5408f93decbc04a881f60,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,230.640841613489954,3422.699887769545967
9,8,86193a9e0db746f7a21164798d4fb9b3,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,180.717877173614454,2253.274521234219719
10,9,b00885a2a0d3489ab66992750721cc2b,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,316.902183017347909,6055.542548916442684
11,10,2a06abe663cf4f1d9370acb2ceb93eee,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,540.238812415677785,14520.177085495854044
12,11,2dc89d64ccf042f49b62a1e42b56d2d5,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,206.415656086726756,2323.864976183000181
13,12,39818456861249a3b8d23453e37a6759,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,146.817016970121330,1424.350115302132508
14,13,23ba2aee96844307a0fd326c3f527e68,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,2873.125204388755265,291288.143867617298383
15,14,e6ebe69617214382a16d2a261a76bed3,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,486.701764586680838,12403.021251186022710
16,15,16b2880a496e452db7145fd5609c6a8b,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,1440.449763190886870,73928.810643143544439
17,16,f9d36a4ff98043768eefbeadd58d4f4a,20000831,5,10MC002,30,2,1,4,1,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,110.141683337372328,886.205665036254231
18,17,1504b0692527496c81621aa4ae8cb4ed,20000831,5,10MC002,30,2,1,4,1,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,125.905378362878537,1101.036427900863373
19,18,ec95aa4bd1a04ed5a56745a639714807,20000831,5,10MC002,30,2,0,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,1854.488227940476236,144956.281790312292287
20,19,da502fa2b1814cdf937f8f9d288f1e7f,20000831,5,10MC002,30,2,1,4,1,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,107.272712940871060,771.245016574968645
21,20,60a8757bfb494f67836c1d53f36e38ac,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,263.666597419247694,4416.903891393892991
22,21,7b01c6ae929e46cb903d4d2e2f1bc0d1,20000831,5,10MC002,30,2,1,4,0,1,,,,,,,,,,,,Lake,,1,0,2021-10-11 19:02:44,948.669330253224643,27793.654121211075108
