sampletype,endmembertype,headwallcat,slumpsite,streamlocation,PERIstreamloc,lat_dd,long_dd,samplingdate,samplingtime,timenotes,headwallsamplingnotes,headwallcollector,headwallapproxdepth_m,MaxHeadwallHeight_m,SlumpArea_ha,DebrisTongue_m,GLdist_m,maxelev_m,maxslope_perc,avg_downstream_streampower,Discharge_m3s,StreamVelocity_avg_ms,StreamVelocity_stdev_ms,StreamVelocity_count_ms,WatershedArea_km2,YSITemp_degC,YSI_Atm,YSI_DOpcnt,YSI_DOmgL,YSI_Cond,YSI_pH,RainTot96h_mm,AirTavg96h_degC,NetTotRad24h_Wm2,PCmgL,POCmgL,DOCmgL,PNmgL,TDNugL,DINugL,DONmgL,NH3ugL,NO2NO3ugL,NO2NO3ugLMDL,TPPugL,POPugL,TDPugL,TDPugLMDL,SRPugL,DOPugL,DOPugL.loq,percPOC,percPOC.imp,percPC,percPN,percPOP,percTPP,POCTSS,PNPCTSS,TPPTSS,POPTSS,TSSavg,TSSsd,TSScv,TSScount,PO13C,PO13C.imp,POCtoPOP,POCtoPOP.imp,POCtoPN,POCtoPN.imp,P15N,DOCtoDON,DOCtoDOP,DOCtoDOP.loq,F14C_A,F14C_DIC,F14C_POC,F14Cerror_A,F14Cerror_DIC,F14Cerror_POC,SR,a254naperian,a350naperian,atot250450,atot250450TSSstd,HIX,pkAB,pkCB,pkTC,prcntC1,prcntC2,prcntC3,prcntC4,prcntC5,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5,Fmax,Ftot,A,B,C,T,M,D,N,E
Endmember,Headwall,HOL,FM2,NA,NA,NA,NA,2017-07-12,NA,NA,Sample depth: 0.65-0.70 m,Scott Zolkos,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.81589522,NA,108.6702402,NA,4.860106751,NA,2.042114643,NA,NA,NA,0.4912,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,HOL,FM3,NA,NA,NA,NA,2017-07-13,NA,NA,Sample depth: 1.6-1.7 m,Scott Zolkos,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.8297521,NA,160.7491092,NA,12.45892906,NA,2.138165974,NA,NA,NA,0.0066,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,HOL,SD,NA,NA,NA,NA,2017-07-13,NA,NA,"Sample depth: 0.80-0.94 m; massive ice layer ~0.20 m thick on top of Holocene layer (so, no representative active layer at this part of lobe), but not in contact with or affecting sample",Scott Zolkos,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.70750551,NA,137.222071,NA,6.209395057,NA,0.808884008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,HOL,SE,NA,NA,NA,NA,2017-07-14,NA,NA,-,Scott Zolkos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.61251415,NA,232.2650595,NA,13.37655691,NA,1.307802158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,HOL,SF,NA,NA,NA,NA,2017-08-03,NA,NA,Sample depth: 0.35 - 0.38 m,Sarah Shakil,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.92139318,NA,137.1059839,NA,2.758323372,NA,2.1951998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,LAL,FM3,NA,NA,NA,NA,2017-07-13,NA,NA,"Sample depth: composited from 0.39-0.53 m, as A and B horizons difficult to differentiate",Scott Zolkos,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.21648342,NA,173.3773156,NA,13.45509316,NA,3.503577298,NA,NA,NA,0.6031,NA,NA,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,LAL,FM3,NA,NA,NA,NA,2017-08-08,NA,NA,"Sample depth: ~0.50 depth; (67.25592N, -135.27203W, elev=396 m)",Sarah Shakil,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.57363291,NA,160.990205,NA,11.51787651,NA,1.655838547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,LAL,SD,NA,NA,NA,NA,2017-07-13,NA,NA,"Sample depth: A and B composited from two depths, composited from 0.17-0.22 and 0.28-0.35 m",Scott Zolkos,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.7278605,NA,203.2371247,NA,11.53126373,NA,1.604802264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,LAL,SF,NA,NA,NA,NA,2017-08-03,NA,NA,Sample depth: 0.10 - 0.20 m,Sarah Shakil,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.06205964,NA,292.7102247,NA,10.51889295,NA,3.069353357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endmember,Headwall,LAL,SF,NA,NA,NA,NA,2017-08-03,NA,NA,Sample depth: 0.24- 0.28 m,Sarah Shakil,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.91042024,NA,387.8514548,NA,17.0556899,NA,1.156725823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
