system:index,HydroID,LakeAddChe,Name,Shape_Area,Shape_Leng,WatershedA,mean
0000000000000000003b,0,Y,siteSCoutlet170710,1.03E+09,263523.1099,0,470.3752885
0000000000000000003c,0,Y,siteSCoutlet170807,1.03E+09,267972.9067,0,470.4893651
0000000000000000003d,0,Y,site3,6.14E+07,50419.71437,0,322.8895619
0000000000000000003e,0,Y,siteSC-1A,1.91E+07,29007.82242,0,258.8218007
0000000000000000003f,0,Y,siteSC-2B,1.08E+08,63330.06746,0,325.9675367
40,0,Y,site8,8653723.222,26835.75552,0,428.0679171
41,0,Y,site29,1.38E+07,24802.42351,0,430.7832462
42,0,Y,site0,6788990.946,15113.24482,0,476.5259699
43,0,Y,siteSC-3B,1.43E+08,80412.83247,0,355.9867833
0,0,Y,site45,1.13E+07,19466.2695,0,258.4713082
1,0,Y,site1,957737.635,6129.190583,0,349.1343717
2,0,Y,site40alt1,1242508.954,7194.044193,0,318.9164397
3,0,Y,site26,4254748.88,13463.78875,0,273.0057086
4,0,Y,site31,4852182.012,15583.04631,0,238.8887469
5,0,Y,site32,8430568.275,17714.52385,0,270.998687
6,0,Y,site30,1635873.819,7480.047959,0,313.2635429
7,0,Y,site42,4228536.391,11471.6213,0,316.7819737
8,0,Y,site53,1750938.991,9609.948678,0,359.0093838
9,0,Y,site27,867103.3684,7068.348341,0,424.6682238
0000000000000000000a,0,Y,SDUP150704,923255.6743,5570.449787,0,423.0061423
0000000000000000000b,0,Y,SDDN150704,1089077.33,6210.417495,0,422.9894002
0000000000000000000c,0,Y,site48,1090124.429,6349.769336,0,422.9886566
0000000000000000000d,0,Y,SDDNTS100150704,1110435.487,6396.227028,0,422.9425772
0000000000000000000e,0,Y,SDDNTS200150704,1160475.386,6690.215488,0,422.8213242
0000000000000000000f,0,Y,SDDNTS300150704,1255120.479,6912.094798,0,422.700687
10,0,Y,SDDNTS400150704,1298255.408,7087.512259,0,422.59552
11,0,Y,SEUP160617,5309182.143,13667.67429,0,394.022277
12,0,Y,SEUP150706,5326374.866,13667.66832,0,394.1471887
13,0,Y,SEDN160725,5445060.752,13930.80574,0,394.991591
14,0,Y,SEDN150706,5543193.546,14165.54221,0,395.7312733
15,0,Y,SEDN160617,5573806.456,14255.82075,0,395.9756032
16,0,Y,SEDNTS100150706,5608195.59,14309.99018,0,396.2431284
17,0,Y,SEDNTS100150821,5628325.018,14382.21565,0,396.3977975
18,0,Y,SEDNTS200150706,5673610.182,14629.89291,0,396.7672742
19,0,Y,SEDNTS200150821,5717015.969,14684.06947,0,397.1284458
0000000000000000001a,0,Y,SEDNTSA160725,5757062.854,14874.96238,0,397.4581381
0000000000000000001b,0,Y,SEDNTSB160725,793522.5704,6007.532776,0,418.749739
0000000000000000001c,0,Y,SEDNTSC160725,6561698.837,15595.17638,0,400.1136175
0000000000000000001d,0,Y,SEDNTS400150706,6579103.12,15631.28914,0,400.230354
0000000000000000001e,0,Y,SEDNTS400150821,6623136.521,15649.33772,0,400.5163325
0000000000000000001f,0,Y,SEDNTS600150706,6738042.688,15884.06925,0,401.3061752
20,0,Y,SEDNTS600150821,6756497.561,15902.13233,0,401.4091833
21,0,Y,SEDNTS800150706,6933274.903,16302.02121,0,402.5059643
22,0,Y,SEDNTS800150821,6985489.236,16578.11229,0,402.8624478
23,0,Y,SEDNTS1000150706,7118640.936,16970.26101,0,403.8437771
24,0,Y,SEDNTS1000150821,7152820.214,17106.99654,0,404.087537
25,0,Y,HAUPTS2160617,7614269.513,18863.82625,0,407.8578037
26,0,Y,HAUPTS22160726,7674652.888,18972.16236,0,408.2899041
27,0,Y,HAINTSINFLOW1160617,1079560.19,8350.35635,0,432.7169353
28,0,Y,HADNTS3160726,8755261.297,19759.42525,0,411.3084406
29,0,Y,S2UPTS4160617,9663690.501,21949.53018,0,415.2346335
0000000000000000002a,0,Y,S2INTSINFLOW2160617,8971844.215,21209.24344,0,421.080272
0000000000000000002b,0,Y,S2DNTS5160617,1.87E+07,24551.93494,0,418.0896344
0000000000000000002c,0,Y,S3UPTS6160730,1.90E+07,25887.85677,0,418.8607831
0000000000000000002d,0,Y,S3INTSINFLOW3160730,2.08E+07,35682.3182,0,393.0038615
0000000000000000002e,0,Y,S3DNTS7160730,3.98E+07,39206.58459,0,405.3442738
0000000000000000002f,0,Y,site71,328070.5838,3633.289447,0,462.2996444
30,0,Y,site62,1869021.975,10889.70008,0,502.1459116
31,0,Y,site13,2257419.119,8995.516517,0,505.9039946
32,0,Y,site10,1.03E+08,82937.72067,0,482.9846376
33,0,Y,site7,1.12E+07,21892.46785,0,516.7653302
34,0,Y,site57,2470704.251,9837.093023,0,509.2272758
35,0,Y,siteDC-3,3.48E+07,43137.1669,0,515.691925
36,0,Y,siteDC-4,2.26E+08,127713.0386,0,497.8761277
37,0,Y,site12-1,211604.9792,3831.035085,0,517.6093707
38,0,Y,SC-8B,9.17E+08,237453.753,0,461.8361032
39,0,Y,site14,2.57E+07,48819.29437,0,529.4883339
0000000000000000003a,0,Y,siteSC-9A,9.97E+08,258694.6456,0,467.7605712
44,0,Y,site20,2653471.739,12077.91629,0,456.7406659
45,0,Y,site19,9102970.765,22391.73955,0,415.8018604
46,0,Y,site5,1.81E+07,25525.5358,0,446.6403871
47,0,Y,site36,4.25E+07,54545.36664,0,401.082036
48,0,Y,site37,2.63E+07,45537.58056,0,437.401314
49,0,Y,site38,4173318.201,12122.56923,0,465.5588263
0000000000000000004a,0,Y,siteSC-4B,2.35E+08,112154.2356,0,396.7301817
0000000000000000004b,0,Y,site24,3661513.88,13663.57841,0,448.9625518
0000000000000000004c,0,Y,site23,1.38E+07,26301.05699,0,449.7627946
0000000000000000004d,0,Y,site35,2910119.968,9064.966602,0,498.0883403
0000000000000000004e,0,Y,siteSC-5B,4.79E+08,162850.4689,0,428.0343561
0000000000000000004f,0,Y,siteSC-6B,5.95E+08,194569.6103,0,439.6153967
50,0,Y,site9alt,3.28E+07,43408.06294,0,518.9834091
51,0,Y,site6,4972126.887,13039.93453,0,518.9335985
52,0,Y,siteSC-7B,6.65E+08,213971.6585,0,447.2256067
