LakeAddChe,Name,Shape_Area,Shape_Leng,mean
Y,siteSCoutlet170710,1.03E+09,263523.1099,2408.334854
Y,siteSCoutlet170807,1.03E+09,267972.9067,2408.777084
Y,site3,6.14E+07,50419.71437,1740.477157
Y,siteSC-1A,1.91E+07,29007.82242,1307.066944
Y,siteSC-2B,1.08E+08,63330.06746,1721.407446
Y,site8,8653723.222,26835.75552,2264.098959
Y,site29,1.38E+07,24802.42351,2240.13328
Y,site0,6788990.946,15113.24482,2347.246047
Y,siteSC-3B,1.43E+08,80412.83247,1863.23851
Y,site45,1.13E+07,19466.2695,1427.002503
Y,site1,957737.635,6129.190583,1963.546817
Y,site40alt1,1242508.954,7194.044193,1810.567006
Y,site26,4254748.88,13463.78875,1565.292365
Y,site31,4852182.012,15583.04631,1344.787851
Y,site32,8430568.275,17714.52385,1461.026197
Y,site30,1635873.819,7480.047959,1738.48875
Y,site42,4228536.391,11471.6213,1764.943429
Y,site53,1750938.991,9609.948678,1913.991969
Y,site27,867103.3684,7068.348341,2207.185366
Y,SDUP150704,923255.6743,5570.449787,2149.295216
Y,SDDN150704,1089077.33,6210.417495,2165.306916
Y,site48,1090124.429,6349.769336,2165.484154
Y,SDDNTS100150704,1110435.487,6396.227028,2168.08553
Y,SDDNTS200150704,1160475.386,6690.215488,2172.296145
Y,SDDNTS300150704,1255120.479,6912.094798,2181.147621
Y,SDDNTS400150704,1298255.408,7087.512259,2184.352625
Y,SEUP160617,5309182.143,13667.67429,2081.646538
Y,SEUP150706,5326374.866,13667.66832,2082.793267
Y,SEDN160725,5445060.752,13930.80574,2090.160942
Y,SEDN150706,5543193.546,14165.54221,2096.347475
Y,SEDN160617,5573806.456,14255.82075,2098.357333
Y,SEDNTS100150706,5608195.59,14309.99018,2100.551111
Y,SEDNTS100150821,5628325.018,14382.21565,2101.806443
Y,SEDNTS200150706,5673610.182,14629.89291,2104.81949
Y,SEDNTS200150821,5717015.969,14684.06947,2107.585444
Y,SEDNTSA160725,5757062.854,14874.96238,2110.21463
Y,SEDNTSB160725,793522.5704,6007.532776,2312.60159
Y,SEDNTSC160725,6561698.837,15595.17638,2135.307166
Y,SEDNTS400150706,6579103.12,15631.28914,2136.190457
Y,SEDNTS400150821,6623136.521,15649.33772,2138.447723
Y,SEDNTS600150706,6738042.688,15884.06925,2144.445499
Y,SEDNTS600150821,6756497.561,15902.13233,2145.272341
Y,SEDNTS800150706,6933274.903,16302.02121,2153.6334
Y,SEDNTS800150821,6985489.236,16578.11229,2156.100338
Y,SEDNTS1000150706,7118640.936,16970.26101,2162.654455
Y,SEDNTS1000150821,7152820.214,17106.99654,2164.318909
Y,HAUPTS2160617,7614269.513,18863.82625,2187.836289
Y,HAUPTS22160726,7674652.888,18972.16236,2190.57018
Y,HAINTSINFLOW1160617,1079560.19,8350.35635,2435.652109
Y,HADNTS3160726,8755261.297,19759.42525,2220.84331
Y,S2UPTS4160617,9663690.501,21949.53018,2246.426467
Y,S2INTSINFLOW2160617,8971844.215,21209.24344,2266.99244
Y,S2DNTS5160617,1.87E+07,24551.93494,2256.585608
Y,S3UPTS6160730,1.90E+07,25887.85677,2261.261213
Y,S3INTSINFLOW3160730,2.08E+07,35682.3182,2129.936637
Y,S3DNTS7160730,3.98E+07,39206.58459,2192.616425
Y,site71,328070.5838,3633.289447,2478.756556
Y,site62,1869021.975,10889.70008,2646.651022
Y,site13,2257419.119,8995.516517,2629.929184
Y,site10,1.03E+08,82937.72067,2502.832821
Y,site7,1.12E+07,21892.46785,2570.060744
Y,site57,2470704.251,9837.093023,2631.652494
Y,siteDC-3,3.48E+07,43137.1669,2620.487494
Y,siteDC-4,2.26E+08,127713.0386,2546.200833
Y,site12-1,211604.9792,3831.035085,2685.050167
Y,SC-8B,9.17E+08,237453.753,2364.676812
Y,site14,2.57E+07,48819.29437,2674.930217
Y,siteSC-9A,9.97E+08,258694.6456,2394.159985
Y,site20,2653471.739,12077.91629,2397.805363
Y,site19,9102970.765,22391.73955,2134.850385
Y,site5,1.81E+07,25525.5358,2293.504331
Y,site36,4.25E+07,54545.36664,2056.13316
Y,site37,2.63E+07,45537.58056,2255.428533
Y,site38,4173318.201,12122.56923,2485.181358
Y,siteSC-4B,2.35E+08,112154.2356,2064.992925
Y,site24,3661513.88,13663.57841,2319.918888
Y,site23,1.38E+07,26301.05699,2266.299701
Y,site35,2910119.968,9064.966602,2371.299889
Y,siteSC-5B,4.79E+08,162850.4689,2202.708836
Y,siteSC-6B,5.95E+08,194569.6103,2257.800173
Y,site9alt,3.28E+07,43408.06294,2592.360865
Y,site6,4972126.887,13039.93453,2585.070316
Y,siteSC-7B,6.65E+08,213971.6585,2291.387133
