LakeAddChe,Name,Shape_Area,Shape_Leng,mean
Y,siteSCoutlet170710,1.03E+09,263523.1099,2857.509392
Y,siteSCoutlet170807,1.03E+09,267972.9067,2858.281
Y,site3,6.14E+07,50419.71437,2094.515339
Y,siteSC-1A,1.91E+07,29007.82242,1644.166454
Y,siteSC-2B,1.08E+08,63330.06746,2074.859993
Y,site8,8653723.222,26835.75552,2629.576429
Y,site29,1.38E+07,24802.42351,2593.263784
Y,site0,6788990.946,15113.24482,2853.077654
Y,siteSC-3B,1.43E+08,80412.83247,2228.772747
Y,site45,1.13E+07,19466.2695,1833.115307
Y,site1,957737.635,6129.190583,2493.063717
Y,site40alt1,1242508.954,7194.044193,2310.957765
Y,site26,4254748.88,13463.78875,1995.476043
Y,site31,4852182.012,15583.04631,1726.424659
Y,site32,8430568.275,17714.52385,1887.353545
Y,site30,1635873.819,7480.047959,2188.47906
Y,site42,4228536.391,11471.6213,2192.404017
Y,site53,1750938.991,9609.948678,2369.058343
Y,site27,867103.3684,7068.348341,2775.237634
Y,SDUP150704,923255.6743,5570.449787,2766.436853
Y,SDDN150704,1089077.33,6210.417495,2775.055025
Y,site48,1090124.429,6349.769336,2775.155036
Y,SDDNTS100150704,1110435.487,6396.227028,2776.669854
Y,SDDNTS200150704,1160475.386,6690.215488,2778.74062
Y,SDDNTS300150704,1255120.479,6912.094798,2783.072721
Y,SDDNTS400150704,1298255.408,7087.512259,2784.735839
Y,SEUP160617,5309182.143,13667.67429,2567.130397
Y,SEUP150706,5326374.866,13667.66832,2568.065453
Y,SEDN160725,5445060.752,13930.80574,2574.318941
Y,SEDN150706,5543193.546,14165.54221,2579.424538
Y,SEDN160617,5573806.456,14255.82075,2581.047116
Y,SEDNTS100150706,5608195.59,14309.99018,2582.837271
Y,SEDNTS100150821,5628325.018,14382.21565,2583.895967
Y,SEDNTS200150706,5673610.182,14629.89291,2586.282134
Y,SEDNTS200150821,5717015.969,14684.06947,2588.325297
Y,SEDNTSA160725,5757062.854,14874.96238,2590.410688
Y,SEDNTSB160725,793522.5704,6007.532776,2813.089657
Y,SEDNTSC160725,6561698.837,15595.17638,2617.819635
Y,SEDNTS400150706,6579103.12,15631.28914,2618.52792
Y,SEDNTS400150821,6623136.521,15649.33772,2620.306611
Y,SEDNTS600150706,6738042.688,15884.06925,2624.739739
Y,SEDNTS600150821,6756497.561,15902.13233,2625.433345
Y,SEDNTS800150706,6933274.903,16302.02121,2632.018946
Y,SEDNTS800150821,6985489.236,16578.11229,2633.859352
Y,SEDNTS1000150706,7118640.936,16970.26101,2638.339454
Y,SEDNTS1000150821,7152820.214,17106.99654,2639.462504
Y,HAUPTS2160617,7614269.513,18863.82625,2650.057832
Y,HAUPTS22160726,7674652.888,18972.16236,2651.351139
Y,HAINTSINFLOW1160617,1079560.19,8350.35635,2861.277127
Y,HADNTS3160726,8755261.297,19759.42525,2677.264997
Y,S2UPTS4160617,9663690.501,21949.53018,2692.499453
Y,S2INTSINFLOW2160617,8971844.215,21209.24344,2737.274473
Y,S2DNTS5160617,1.87E+07,24551.93494,2714.185425
Y,S3UPTS6160730,1.90E+07,25887.85677,2716.543517
Y,S3INTSINFLOW3160730,2.08E+07,35682.3182,2608.569481
Y,S3DNTS7160730,3.98E+07,39206.58459,2660.09972
Y,site71,328070.5838,3633.289447,2900.733452
Y,site62,1869021.975,10889.70008,3067.908137
Y,site13,2257419.119,8995.516517,3057.570294
Y,site10,1.03E+08,82937.72067,2956.449422
Y,site7,1.12E+07,21892.46785,2979.447041
Y,site57,2470704.251,9837.093023,3079.370375
Y,siteDC-3,3.48E+07,43137.1669,3123.053937
Y,siteDC-4,2.26E+08,127713.0386,3035.455128
Y,site12-1,211604.9792,3831.035085,3052.692936
Y,SC-8B,9.17E+08,237453.753,2817.592593
Y,site14,2.57E+07,48819.29437,3078.333794
Y,siteSC-9A,9.97E+08,258694.6456,2845.278002
Y,site20,2653471.739,12077.91629,2780.308656
Y,site19,9102970.765,22391.73955,2512.265811
Y,site5,1.81E+07,25525.5358,2751.049894
Y,site36,4.25E+07,54545.36664,2458.036225
Y,site37,2.63E+07,45537.58056,2711.323337
Y,site38,4173318.201,12122.56923,3006.303959
Y,siteSC-4B,2.35E+08,112154.2356,2437.668951
Y,site24,3661513.88,13663.57841,2733.173919
Y,site23,1.38E+07,26301.05699,2696.328785
Y,site35,2910119.968,9064.966602,2940.596619
Y,siteSC-5B,4.79E+08,162850.4689,2621.425644
Y,siteSC-6B,5.95E+08,194569.6103,2689.860887
Y,site9alt,3.28E+07,43408.06294,3031.290746
Y,site6,4972126.887,13039.93453,3068.453891
Y,siteSC-7B,6.65E+08,213971.6585,2728.239932
