,x,,,,,
1,02SS02BI_071717_1a_Absorbance_20-09-29-293,,,,,X
2,02SS02BI_071717_1b_Absorbance_20-13-46-107,,,,,X
3,10SS06MI_072217_1a_Absorbance_19-07-07-668,,,,,X
4,10SS06MI_072217_1b_Absorbance_19-09-35-898,,,,,X
5,12-1-SS01MU_080917_1a_Absorbance_10-59-25-221,,,,,X
6,12-1-SS01MU_080917_1b_Absorbance_11-02-08-980,,,,,X
7,13SS02MU_071317_1a_Absorbance_21-05-03-783,,,,,X
8,13SS02MU_071317_1b_Absorbance_21-10-27-488,,,,,X
9,14SS03MU_072217_1a_Absorbance_19-28-25-972,,,,,X
10,14SS03MU_072217_1b_Absorbance_19-25-44-854,,,,,X
11,19SS01LI_072217_1a_Absorbance_18-39-39-977,,,,,X
12,19SS01LI_072217_1b_Absorbance_18-42-01-870,,,,,X
13,1SS02BU-2_080317_1a_Absorbance_15-39-52-626,,,,,X
14,1SS02BU-2_080317_1b_Absorbance_15-43-13-111,,,,,X
15,1SS02BU_080317_1a_Absorbance_15-54-44-183,,,,,X
16,1SS02BU_080317_1b_Absorbance_15-57-13-793,,,,,X
17,20SS02LI_072217_1a_Absorbance_18-30-28-769,,,,,X
18,20SS02LI_072217_1b_Absorbance_18-33-24-376,,,,,X
19,23SS05LI_072017_1a_Absorbance_18-19-03-769,,,,,X
20,23SS05LI_072017_1b_Absorbance_18-24-25-370,,,,,X
21,24SS06LI_072017_1a_Absorbance_17-33-26-650,,,,,X
22,24SS06LI_072017_1b_Absorbance_17-35-42-599,,,,,X
23,26SS01LU_071417_1a_Absorbance_22-13-18-276,,,,,X
24,26SS01LU_071417_1b_Absorbance_22-16-24-635,,,,,X
25,27SS02LU_071217_1a_Absorbance_20-43-18-874,,,,,X
26,27SS02LU_071217_1b_Absorbance_20-47-30-723,,,,,X
27,29SS04LU_072017_1a_Absorbance_17-04-41-388,,,,,X
28,29SS04LU_072017_1b_Absorbance_17-05-45-003,,,,,X
29,30SS01FU_071417_1a_Absorbance_21-19-35-815,,,,,X
30,30SS01FU_071417_1b_Absorbance_21-24-03-672,,,,,X
31,31SS02FU-2_072917_1a_Absorbance_16-39-22-424,,,,,X
32,31SS02FU-2_072917_1b_Absorbance_16-42-36-204,,,,,X
33,31SS02FU_072917_1a_Absorbance_17-19-23-826,,,,,X
34,31SS02FU_072917_1b_Absorbance_17-23-41-706,,,,,X
35,32SS03FU_072917_1a_Absorbance_17-00-20-298,,,,,X
36,32SS03FU_072917_1b_Absorbance_17-04-59-357,,,,,X
37,35SS02OI_072017_1a_Absorbance_18-02-50-683,,,,,X
38,35SS02OI_072017_1b_Absorbance_18-06-30-810,,,,,X
39,36SS03OI_072017_1a_Absorbance_17-23-25-404,,,,,X
40,36SS03OI_072017_1b_Absorbance_17-42-07-034,,,,,X
41,37SS04OI_072017_1a_Absorbance_17-49-42-982,,,,,X
42,37SS04OI_072017_1b_Absorbance_17-53-11-152,,,,,X
43,38SS01OI_072017_1a_Absorbance_16-45-28-772,,,,,X
44,38SS01OI_072017_1b_Absorbance_16-50-21-430,,,,,X
45,3SS04BU_072217_1a_Absorbance_18-52-27-841,,,,,X
46,3SS04BU_072217_1b_Absorbance_18-55-11-488,,,,,X
47,40SS02BU-alt1-2_080917_1a_Absorbance_10-52-09-734,,,,,X
48,40SS02BU-alt1-2_080917_1b_Absorbance_10-56-15-683,,,,,X
49,40SS02BU-alt1_080917_1a_Absorbance_11-17-46-457,,,,,X
50,40SS02BU-alt1_080917_1b_Absorbance_11-21-38-449,,,,,X
51,42SS01BI_071517_1a_Absorbance_19-49-32-795,,,,,X
52,42SS01BI_071517_1b_Absorbance_19-53-11-969,,,,,X
53,45SS03BU-alt2-2_080317_1a_Absorbance_15-14-56-001,,,,,X
