OID_,FID_allslumpsclippedtowatershed,FID_Peel_Slumps_2016,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID_1,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_12,SLUMP_ID_12,STATUS_12,GEOMORPH_12,SECONDARY_12,CONNECTIVI_12,RIPARIAN_12,NOTES_12,IMAGE_SOUR_12,IMAGE_DATE_12,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length,Shape_Area
1,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,,site45,,Y,19466.269497749788570,11276919.546127937734127
2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,2,,site1,,Y,6129.190582904125222,957737.635043141315691
3,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,3,,site40alt1,,Y,7194.044192891598868,1242508.954421095084399
4,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,4,,site26,,Y,13463.788749219214878,4254748.888282014057040
5,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,5,,site31,,Y,15583.046313083956193,4852182.006669268943369
6,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,6,,site32,,Y,17714.523852949409047,8430568.256374003365636
7,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,7,,site30,,Y,7480.047958865776309,1635873.818998922826722
8,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,722.493452136055566,3981.902690391064425
9,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,48,,site71,,Y,3633.290435969961891,328070.610711237473879
10,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,49,,site62,,Y,10889.700180706724495,1869021.932427491294220
11,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,50,,site13,,Y,8995.516517439187737,2257419.096685689873993
12,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,61,,siteSCoutlet170807,,Y,9979.059321034699678,1618415.026733738603070
13,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,45,,S3UPTS6160730,,Y,5234.764427159328989,321746.780496270570438
14,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,5234.764427159328989,321746.780496270570438
15,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,37308.288717796778656,12595668.988809453323483
16,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,37308.288717796778656,12595668.988809453323483
17,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,60,,siteSCoutlet170710,,Y,53716.833297513076104,30511653.631809245795012
18,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,61,,siteSCoutlet170807,,Y,53716.833297513076104,30511653.631809245795012
19,33,102,173,239.330872472000010,104,1,1,0,1,0,D1,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,239.330872471842270,2274.677679927150621
20,33,102,173,239.330872472000010,104,1,1,0,1,0,D1,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,239.330872471842270,2274.677679927150621
21,34,110,187,956.961141448000035,112,1,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,956.961141447763907,33066.728025084012188
22,34,110,187,956.961141448000035,112,1,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,956.961141447763907,33066.728025084012188
