OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
1,R/Cv,0,0,site45,Y,19466.2695,17160.39005,7.531493926,7.536953877
2,Cx,0,0,site45,Y,19466.2695,1915.933226,0.106081026,0.106159705
3,Cv,0,0,site45,Y,19466.2695,13958.61633,3.639344594,3.6421503
4,R/Cv,1,0,site1,Y,6129.190583,5110.028538,0.73378769,0.734350119
5,Lb,1,0,site1,Y,6129.190583,1884.688816,0.103935566,0.10401475
6,Cv,1,0,site1,Y,6129.190583,1914.666294,0.120014373,0.120097918
7,R/Cv,2,0,site40alt1,Y,7194.044193,7231.302558,0.899191961,0.899891096
8,Cx,2,0,site40alt1,Y,7194.044193,3277.080533,0.077916542,0.077974087
9,Lb,2,0,site40alt1,Y,7194.044193,2127.006747,0.265400456,0.265592785
10,Lb,3,0,site26,Y,13463.78875,2427.998536,0.200147926,0.200292739
11,R/Cv,3,0,site26,Y,13463.78875,14211.71922,3.720773029,3.723647757
12,Lb,4,0,site31,Y,15583.04631,1446.461436,0.078704069,0.078764931
13,Cx,4,0,site31,Y,15583.04631,3963.163626,0.498721765,0.499077397
14,Gp,4,0,site31,Y,15583.04631,303.7213333,0.002603357,0.002605129
15,Gp,4,0,site31,Y,15583.04631,2019.792455,0.197792124,0.197938821
16,R/Cv,4,0,site31,Y,15583.04631,20482.48066,3.606472385,3.609408663
17,Cx,5,0,site32,Y,17714.52385,2748.042222,0.084693496,0.084752344
18,Lb,5,0,site32,Y,17714.52385,2765.708952,0.225566079,0.225732496
19,Gp,5,0,site32,Y,17714.52385,2812.663274,0.181688005,0.181824524
20,Gp,5,0,site32,Y,17714.52385,1612.516414,0.101786014,0.101862748
21,R/Cv,5,0,site32,Y,17714.52385,16943.57829,7.453130385,7.458899282
22,Cx,5,0,site32,Y,17714.52385,2791.952046,0.357321542,0.357595484
23,Cx,6,0,site30,Y,7480.047959,3567.784839,0.43349803,0.433822578
24,Gp,6,0,site30,Y,7480.047959,2843.315331,0.313933122,0.314168354
25,R/Cv,6,0,site30,Y,7480.047959,5342.733829,0.888442668,0.889139786
26,Cx,46,0,S3DNTS7160730,Y,39206.58459,722.4934521,0.003981903,0.003985012
27,Mv,47,0,site71,Y,3633.289447,78.61250822,0.000374339,0.000374625
28,MpMbMpv,47,0,site71,Y,3633.289447,3601.207443,0.327696274,0.327951731
29,Mv,48,0,site62,Y,10889.70008,6129.412937,0.901349309,0.902057568
30,MhMrMm,48,0,site62,Y,10889.70008,7093.874335,0.967672625,0.968431057
31,Mv,49,0,site13,Y,8995.516517,1889.075487,0.12704001,0.127142344
