OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
1,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,178.7377536,835.0975604,0.000835098,0.000835689
2,R/Cv,0,0,site45,Y,19466.2695,17160.39016,7531493.832,7.531493832,7.53695379
3,R/Cv,1,0,site1,Y,6129.190583,5110.028636,733787.6618,0.733787662,0.734350091
4,R/Cv,2,0,site40alt1,Y,7194.044193,7231.3025,899191.9651,0.899191965,0.899891099
5,Mv,47,0,site71,Y,3633.289447,78.6125083,374.3386548,0.000374339,0.000374625
6,Mv,48,0,site62,Y,10889.70008,6268.901602,900077.8566,0.900077857,0.900785117
7,Mv,49,0,site13,Y,8995.516517,1889.075484,127040.0144,0.127040014,0.127142348
8,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,14696.50179,1451044.257,1.451044257,1.452206735
9,MhMrMm,48,0,site62,Y,10889.70008,7093.87433,967672.6231,0.967672623,0.968431055
10,MhMrMm,49,0,site13,Y,8995.516517,8465.475623,2119623.764,2.119623764,2.121288399
11,MpMbMpv,47,0,site71,Y,3633.289447,3601.207443,327696.2737,0.327696274,0.327951731
12,Cx,5,0,site32,Y,17714.52385,2748.042537,84693.4654,0.084693465,0.084752314
13,Cx,2,0,site40alt1,Y,7194.044193,3277.082039,77916.53027,0.07791653,0.077974076
14,Lb,3,0,site26,Y,13463.78875,2427.998557,200147.9271,0.200147927,0.20029274
15,Lb,4,0,site31,Y,15583.04631,1446.461239,78704.06716,0.078704067,0.078764929
16,Lb,5,0,site32,Y,17714.52385,2765.709188,225566.0861,0.225566086,0.225732512
17,Cx,6,0,site30,Y,7480.047959,3680.534329,431873.4399,0.43187344,0.432197099
18,Cx,4,0,site31,Y,15583.04631,3963.16363,498721.7659,0.498721766,0.499077397
19,Gp,4,0,site31,Y,15583.04631,303.7211329,2603.355103,0.002603355,0.002605127
20,Gp,5,0,site32,Y,17714.52385,2812.663159,181688.004,0.181688004,0.181824523
21,Gp,6,0,site30,Y,7480.047959,3112.848225,310277.5851,0.310277585,0.310509672
22,Gp,4,0,site31,Y,15583.04631,2019.792279,197792.1085,0.197792108,0.197938806
23,Gp,5,0,site32,Y,17714.52385,1612.516553,101786.0204,0.10178602,0.101862764
24,Lb,1,0,site1,Y,6129.190583,1884.688701,103935.5785,0.103935578,0.104014762
25,Lb,2,0,site40alt1,Y,7194.044193,2127.006937,265400.4628,0.265400463,0.265592792
26,Cx,0,0,site45,Y,19466.2695,1915.932919,106081.0365,0.106081037,0.106159715
27,Cv,0,0,site45,Y,19466.2695,13958.61633,3639344.677,3.639344677,3.642150378
28,Cv,1,0,site1,Y,6129.190583,1914.666296,120014.3895,0.12001439,0.120097934
29,Cx,46,0,S3DNTS7160730,Y,39206.58459,722.4934521,3981.90269,0.003981903,0.003985012
30,R/Cv,3,0,site26,Y,13463.78875,14211.71943,3720773.02,3.72077302,3.72364775
31,R/Cv,4,0,site31,Y,15583.04631,20482.48081,3606472.41,3.60647241,3.609408689
32,R/Cv,5,0,site32,Y,17714.52385,16943.57855,7453130.4,7.4531304,7.458899295
33,R/Cv,6,0,site30,Y,7480.047959,5342.734397,888442.6476,0.888442648,0.889139766
34,Cx,5,0,site32,Y,17714.52385,2791.952317,357321.5394,0.357321539,0.357595482
35,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,25697.52801,10708932.1,10.7089321,10.71748516
36,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,25697.52801,10708932.1,10.7089321,10.71748516
37,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,3471.073506,351231.651,0.351231651,0.35150617
38,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,3471.073506,351231.651,0.351231651,0.35150617
39,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,8004.194189,919664.1186,0.919664119,0.920358261
40,Mv,46,0,S3DNTS7160730,Y,39206.58459,8004.194189,919664.1186,0.919664119,0.920358261
41,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,6115.642684,602562.2245,0.602562224,0.603040005
42,Mv,46,0,S3DNTS7160730,Y,39206.58459,6115.642684,602562.2245,0.602562224,0.603040005
43,Cx,59,0,siteSCoutlet170710,Y,263523.1099,169.2440656,719.6937786,0.000719694,0.000719725
44,Cx,60,0,siteSCoutlet170807,Y,267972.9067,169.2440656,719.6937786,0.000719694,0.000719725
45,Cx,59,0,siteSCoutlet170710,Y,263523.1099,16915.07869,2335672.685,2.335672685,2.337454709
46,Cx,60,0,siteSCoutlet170807,Y,267972.9067,16915.07869,2335672.685,2.335672685,2.337454709
47,Cx,59,0,siteSCoutlet170710,Y,263523.1099,82.14928933,29.16157196,2.91616E-05,2.91535E-05
48,Cx,60,0,siteSCoutlet170807,Y,267972.9067,82.14928933,29.16157196,2.91616E-05,2.91535E-05
49,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,22410.68406,10216655.75,10.21665575,10.22476538
50,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,22410.68406,10216655.75,10.21665575,10.22476538
51,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,20526.79161,4677649.17,4.67764917,4.681543373
52,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,20526.79161,4677649.17,4.67764917,4.681543373
53,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,19760.07044,1991640.783,1.991640783,1.993265868
54,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,19760.07044,1991640.783,1.991640783,1.993265868
55,Cx,44,0,S3UPTS6160730,Y,25887.85677,2131.677782,185678.2744,0.185678274,0.185826945
56,Cx,46,0,S3DNTS7160730,Y,39206.58459,2131.677782,185678.2744,0.185678274,0.185826945
57,Cx,45,0,S3INTSINFLOW3160730,Y,35682.3182,7861.124688,1462330.065,1.462330065,1.463442728
58,Cx,46,0,S3DNTS7160730,Y,39206.58459,7861.124688,1462330.065,1.462330065,1.463442728
59,Cx,45,0,S3INTSINFLOW3160730,Y,35682.3182,214.2393301,779.5535879,0.000779554,0.000780157
60,Cx,46,0,S3DNTS7160730,Y,39206.58459,214.2393301,779.5535879,0.000779554,0.000780157
61,R/Cv,4,0,site31,Y,15583.04631,2909.202917,358648.527,0.358648527,0.358908183
62,R/Cv,4,0,site31,Y,15583.04631,2909.202917,358648.527,0.358648527,0.358908183
63,R/Cv,5,0,site32,Y,17714.52385,734.9700426,26382.74978,0.02638275,0.026401747
64,R/Cv,5,0,site32,Y,17714.52385,734.9700426,26382.74978,0.02638275,0.026401747
65,R/Cv,4,0,site31,Y,15583.04631,1507.955066,109239.7717,0.109239772,0.109320465
66,R/Cv,4,0,site31,Y,15583.04631,1507.955066,109239.7717,0.109239772,0.109320465
67,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,7358.463542,1779393.562,1.779393562,1.780742716
68,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,7358.463542,1779393.562,1.779393562,1.780742716
69,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,4701.277152,136068.5048,0.136068505,0.136165838
70,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,4701.277152,136068.5048,0.136068505,0.136165838
71,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,31307.82984,7461693.185,7.461693185,7.467651386
72,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,31307.82984,7461693.185,7.461693185,7.467651386
73,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,5541.178304,408515.1173,0.408515117,0.40882567
74,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,5541.178304,408515.1173,0.408515117,0.40882567
75,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,2800.778712,114200.1216,0.114200122,0.11428464
76,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,2800.778712,114200.1216,0.114200122,0.11428464
77,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,2800.778712,114200.1216,0.114200122,0.11428464
78,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,33406.12599,4788427.795,4.788427795,4.792577512
79,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,33406.12599,4788427.795,4.788427795,4.792577512
80,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,33406.12599,4788427.795,4.788427795,4.792577512
81,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,575.3384532,14074.42848,0.014074428,0.01408522
82,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,575.3384532,14074.42848,0.014074428,0.01408522
