OID_,Field1,site,loc,trans,date,lat,long,notes,year,campaign,trannum,loc2,snapped,NEAR_FID,NEAR_DIST
1,1,0,NA,SS-0000,2017-07-17 0:00:00,67.338909999999998,-135.908449999999988,NA,2017,2017synoptic,1,NA,Y,45,6320.554780624226623
2,2,1,NA,SS-0000,2017-08-03 0:00:00,67.131119999999996,-136.050090000000012,NA,2017,2017synoptic,1,NA,Y,11,426.071342000547475
3,3,10,NA,SS-0000,2017-07-22 0:00:00,67.270799999999994,-135.370790000000000,NA,2017,2017synoptic,1,NA,Y,25,19400.157639001470670
4,4,12-1,NA,SS-0000,2017-08-09 0:00:00,67.270200000000003,-135.076349999999991,NA,2017,2017synoptic,1,NA,Y,25,31256.535807199848932
5,5,13,NA,SS-0000,2017-07-13 0:00:00,67.220990000000000,-135.503559999999993,NA,2017,2017synoptic,1,NA,Y,25,11984.326365264118067
6,6,14,NA,SS-0000,2017-07-22 0:00:00,67.340280000000007,-135.075680000000006,NA,2017,2017synoptic,1,NA,Y,25,34218.745309745478153
7,7,19,NA,SS-0000,2017-07-22 0:00:00,67.284630000000007,-135.812669999999997,NA,2017,2017synoptic,1,NA,Y,33,3950.468878478126044
8,8,20,NA,SS-0000,2017-07-22 0:00:00,67.284319999999994,-135.811577000000000,NA,2017,2017synoptic,1,NA,Y,33,3933.350472487096340
9,9,23,NA,SS-0000,2017-07-20 0:00:00,67.422939999999997,-135.768460000000005,NA,2017,2017synoptic,1,NA,Y,53,12705.186622901886949
10,10,24,NA,SS-0000,2017-07-20 0:00:00,67.422809999999998,-135.768100000000004,NA,2017,2017synoptic,1,NA,Y,53,12718.463690825496087
11,11,26,NA,SS-0000,2017-07-14 0:00:00,67.158050000000003,-135.914369999999991,NA,2017,2017synoptic,1,NA,Y,13,199.757044733126008
13,13,29,NA,SS-0000,2017-07-20 0:00:00,67.363290000000006,-136.044630000000012,NA,2017,2017synoptic,1,NA,Y,45,3086.417177723489658
14,14,3,NA,SS-0000,2017-07-22 0:00:00,67.284409999999994,-136.001560000000012,NA,2017,2017synoptic,1,NA,Y,39,1241.866040270674603
15,15,30,NA,SS-0000,2017-07-14 0:00:00,67.164760000000001,-135.896330000000006,NA,2017,2017synoptic,1,NA,Y,13,840.288916177132478
16,16,31,NA,SS-0000,2017-07-29 0:00:00,67.167230000000004,-135.897690000000011,NA,2017,2017synoptic,1,NA,Y,13,1000.788853699533774
17,17,32,NA,SS-0000,2017-07-29 0:00:00,67.167829999999995,-135.897220000000004,NA,2017,2017synoptic,1,NA,Y,13,1035.236578255220365
18,18,35,NA,SS-0000,2017-07-20 0:00:00,67.315860000000001,-135.559329999999989,NA,2017,2017synoptic,1,NA,Y,33,15176.554809832492538
19,19,36,NA,SS-0000,2017-07-20 0:00:00,67.279120000000006,-135.678359999999998,NA,2017,2017synoptic,1,NA,Y,33,8988.218769462817363
20,20,37,NA,SS-0000,2017-07-20 0:00:00,67.279550000000000,-135.675369999999987,NA,2017,2017synoptic,1,NA,Y,33,9055.793006203246478
21,21,38,NA,SS-0000,2017-07-20 0:00:00,67.369640000000004,-135.657669999999996,NA,2017,2017synoptic,1,NA,Y,35,15128.559140293287783
22,22,40-alt1,NA,SS-0000,2017-08-09 0:00:00,67.139080000000007,-136.015590000000003,NA,2017,2017synoptic,1,NA,Y,11,177.490833093600230
23,23,42,NA,SS-0000,2017-07-15 0:00:00,67.183239999999998,-135.806459999999987,NA,2017,2017synoptic,1,NA,Y,24,499.711859631769130
