"","site","date","samptype","SR_d","a254dec_d","atot250450_d","sampcode","streamloc","repnum","dilfac","SR_p","atot250450_p","a254naperian_p","HIX_p","prcntC1_p","prcntC2_p","prcntC3_p","prcntC4_p","prcntC5_p","normC1_p","normC2_p","normC3_p","normC4_p","normC5_p","pkAB_p","pkCB_p","pkTC_p","pkCM_p","normA_p","normB_p","normC_p","normE_p","normD_p","normM_p","normN_p","normT_p","FrI_d","BIX_d","HIX_d","pkAB_d","pkCB_d","pkTC_d","pkCM_d","pkCA_d","prcntC1_d","prcntC2_d","prcntC3_d","normC1_d","normC2_d","normC3_d","normA_d","normB_d","normC_d","normE_d","normD_d","normM_d","normN_d","normT_d"
"1","0","2017-07-17","Sample",0.955239290035877,10.3580198019802,1640.69438622937,"0_NA_SS-0000_2017-07-17_Sample_1",NA,1,1,0.6842158564166,63876.7765850639,786.538190348577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871668559964172,0.915483344323013,0.872170196273482,6.47675907238862,4.24021658156821,0.389137727171391,0.979135147793733,0.654681845376166,0.494522559337721,0.358549790476186,0.146927650186093,1.48821414463912,1.07901825643437,0.442163462751561,0.855455099149099,0.132080735069493,0.560050922947383,0.0471517561080376,0.199528215585575,0.571985311945277,0.40179508517355,0.217936943255984
"2","1","2017-08-03","Duplicate",0.891563260721827,11.5629785478548,2198.26037707096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","2017-08-03","Sample",0.911681024918153,11.7514397689769,2200.75883754538,"1_NA_SS-0000_2017-08-03_Sample_1",NA,2,0.666666666666667,0.63221474479828,51.5592348150458,0.63000331850769,0.919195285,0.252205740347498,0.170280841677761,0.345243066514893,0.139993023982134,0.0922773274777149,0.389949833248476,0.263281024952737,0.533800206260891,0.216451284108628,0.142675295229088,5.77485641915012,3.93325345704846,0.201420006205064,1.13336807074326,0.839976410850884,0.145454077103185,0.572107751607896,0.131591361925976,0.237792006561883,0.504785485294913,0.177557996774505,0.115233946878828,0.560370496436065,0.5675297411135,0.928570318305513,25.7895465373443,18.3738798856229,0.165674774503766,1.20095752826815,0.712454554368252,0.522738673931546,0.294301974491983,0.18295935157647,0.414949154190239,0.233616454037142,0.145232851468328,0.417890633569916,0.0162038767515665,0.297728085114721,0.033598533824491,0.145721290850792,0.247908921095705,0.100056863976226,0.0493260333648196
"4","1","2017-08-08","Duplicate",0.900075216582718,11.6802722772277,2229.53367294554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","10","2017-07-22","Sample",0.99907539445122,36.3118275577558,6709.38326613449,"10_NA_SS-0000_2017-07-22_Sample_1",NA,1,1,0.5365500729241,12991.0291861839,146.088551759621,0.909885778,0.400010816953686,0.186724484530541,0.212332948575911,0.131050168793995,0.069881581145867,0.653510808858644,0.305057922804611,0.346895311551665,0.214100964723515,0.114167834176955,7.49284143897719,4.6290740138161,0.226655276023438,1.00050306029103,0.913603672333045,0.121930202283549,0.564423930890116,0.144152963782412,0.246029589930719,0.564140134389929,0.255788585452373,0.127929661850133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","12-1","2017-08-09","Sample",0.664983274930475,113.238968646865,19606.4450993729,"12-1_NA_SS-0000_2017-08-09_Sample_1",NA,2,0.25,0.624842661557519,507.330677950346,6.81277775255522,0.935215064,0.30468383674027,0.12587121679058,0.39571580803872,0.138658393805571,0.0350707446248587,0.415515425446765,0.171658046438561,0.539661125750447,0.189096678413568,0.0478280552373227,14.3047833881269,9.65689425928405,0.137717269574606,1.08777369325271,0.840882539414932,0.0587833116097985,0.567664224426368,0.0853256925550789,0.190858864592928,0.521858754212847,0.172924843789861,0.0781771670231856,0.560884241883204,0.565649473094082,0.941141634125787,28.3638790983918,17.8287560216249,0.15560303975635,1.11300509324667,0.628572557363488,0.509940452990542,0.305651078998491,0.184408468010967,0.0909523493758482,0.0545155489452635,0.0328908665943972,0.892672592817945,0.0314721618196631,0.561109494555872,0.0544230891149128,0.247810235624417,0.504139197529725,0.218257095106896,0.0873103429890426
"7","13","2017-07-13","Sample",0.741309201480112,78.5047896039604,13730.2619420421,"13_NA_SS-0000_2017-07-13_Sample_1",NA,3,0.0833333333333333,0.487050020748564,1282.36481197018,15.6816772744785,0.939601768,0.244759540725454,0.161057881613233,0.425190852738405,0.136945162150227,0.0320465627726812,0.337205376850943,0.221889547198994,0.585785711585611,0.188669438069339,0.0441505701657641,16.7210650961616,11.3112615535194,0.134311645094009,1.14649210901693,0.835379177080717,0.0499596869144706,0.565107085821517,0.107376146238803,0.206516600791501,0.492900981504422,0.149026723294359,0.0759004623509693,0.518330280929084,0.527441672675633,0.945910342259424,30.21514705051,19.7438938930843,0.140114239270564,1.23353874529744,0.653443581130975,0.436497231996192,0.363425150075695,0.200077617928113,0.0317670317259983,0.0264490526542011,0.0145610821111461,0.885120614160903,0.0292939370005801,0.578376383850148,0.054566908450351,0.25818843265542,0.468875733376893,0.194858055845374,0.0810387670352232
"8","14","2017-07-22","Sample",0.871231978117691,44.4444843234323,7570.0447117698,"14_NA_SS-0000_2017-07-22_Sample_1",NA,1,1,0.689324157450166,75.321505745722,0.90793176715092,0.849865748,0.34385282449937,0.11025121247846,0.194266885870062,0.137067508970655,0.214561568181453,0.599443130648267,0.192202382115307,0.338668005466545,0.238951582867336,0.374047990836635,2.39979279816264,1.44774671736848,0.354851860213409,1.01182978269196,0.862801559878888,0.359531689794,0.520510823689207,0.0924662628497982,0.225275475190317,0.514425284363932,0.248498118852874,0.184704234047329,0.581751912582182,0.584221933965767,0.940230763493531,18.3332626433884,11.5729989765929,0.169124867320339,1.09725958728713,0.631256923642366,0.525421309083968,0.332871110786543,0.14170758012949,0.842623649200068,0.533828882146485,0.227257928492084,0.884822397652497,0.0482632259660337,0.558550264711978,0.0625786592670694,0.287227704711697,0.509041134097486,0.220929060750758,0.0944647394111533
"9","19","2017-07-22","Sample",0.94302678535184,9.17592821782178,2034.09190564769,"19_NA_SS-0000_2017-07-22_Sample_1",NA,1,1,0.661698819123161,1896.93338474514,20.700507477081,0.838036162,0.410706396269615,0.13084712861674,0.116545140265855,0.12138872012,0.22051261472779,0.784230999797963,0.249848493784928,0.222539294986497,0.231787959010527,0.421061931069886,2.1635896198118,1.26575711254495,0.401478943891298,0.913595162870476,0.902098782931324,0.416945420088397,0.527751631019931,0.110076065844166,0.235883597484457,0.577664651115006,0.312906226808536,0.211881167458792,0.70023097946657,0.715534318817567,0.874150236136677,8.86595586342493,6.75169538975352,0.248347922716297,1.11057891936335,0.761530453541569,0.43022697980473,0.355361386663725,0.214411633531545,0.197801467835282,0.163381208509912,0.0985780479242599,0.222916298738344,0.0251429515522347,0.169757550080019,0.0128733859760709,0.0643984556010794,0.152855008428698,0.076525086256783,0.0421589349277806
"10","20","2017-07-22","Sample",1.17417733534919,16.1757632013201,3279.99801318069,"20_NA_SS-0000_2017-07-22_Sample_1",NA,1,1,0.509463084796722,10731.0736542987,121.931979237804,0.905906017,0.408122408616371,0.193049456977666,0.178068317173965,0.136232604605388,0.0845272126266103,0.697093968575071,0.329738356078167,0.304149802303466,0.232692263371787,0.144376806709136,6.16440731566419,3.59788098386379,0.262866535967171,0.97661165264464,0.937634000578233,0.152104485080932,0.54725383443308,0.151608061602199,0.260537144444368,0.56035972226128,0.277675979754426,0.143854719752176,0.703540769876697,0.705446592183447,0.864121536510616,6.78488372890225,4.39126927690239,0.315185817246591,1.05576280749,0.647213637309134,0.460810441642909,0.379453893672796,0.159735664684294,0.63119943941412,0.519760542134971,0.218799430073026,0.710479354445892,0.104715037550222,0.459831927223971,0.0490248543941932,0.206792512469346,0.435544730276288,0.244094824011603,0.144932501778162
