,slumpsite,streamloc,sampdate,samptype,repnum,dilfac,coef275295,coef350400,SR,coef275295int,coef350400int,SRint,a254naperian,TSSmgL,a254napTSSstd,a350naperian,a350napTSSstd,atot250450,atot250450TSSstd,sampcode,i,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5,Ftot,Fmax,B,T,A,M,C,D,N,E,FluI,FrI,BIX,HIX,v1,v2,v3,v4,v5,rvm1,rvm2,rvm3,rvm4,rvm5,rvx1,rvx2,rvx3,rvx4,rvx5,pkAB,pkCB,pkTC,pkCM,pkCA,prcntC1,prcntC2,prcntC3,prcntC4,prcntC5,normC1,normC2,normC3,normC4,normC5,normA,normB,normC,normE,normD,normM,normN,normT
1,0,NA,2017-07-17,Discard,1,1,0.009569945,0.014899406,0.642303808,0.009874654,0.014899406,0.662754862,723.222092,NA,NA,224.6513795,NA,59697.30713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,NA,2017-07-17,Sample,1,1,0.010615261,0.015514491,0.684215856,0.010463684,0.015514491,0.674445849,786.5381903,NA,NA,241.0150653,NA,63876.77659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,NA,2017-07-17,Sample,2,0.666666667,0.009625095,0.015523687,0.620026343,0.009510845,0.015523687,0.612666634,767.202519,NA,NA,238.1026627,NA,62810.27256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,2017-08-03,Sample,2,0.666666667,0.010150409,0.016055318,0.632214745,0.010297353,0.016055318,0.641367147,0.630003319,NA,NA,0.201472594,NA,51.55923482,NA,1_NA_SS-0000_2017-08-03_Sample_1,3,0.028792858,0.01943997,0.039414387,0.015982187,0.010534764,101.9496067,0.073837339,0.010739942,0.008508568,0.062021623,0.037272017,0.042242914,0.017557929,0.01311041,0.009716356,1.23581665,0.393578187,0.398505853,0.919195285,24.21313655,26.3211579,28.73903901,20.43005405,2.142036185,0.237743982,0.258442225,0.28218292,0.200598646,0.021032228,0.243827547,0.265055432,0.289403621,0.205731709,0.021570416,5.774856419,3.933253457,0.201420006,1.133368071,0.681099784,0.25220574,0.170280842,0.345243067,0.139993024,0.092277327,0.389949833,0.263281025,0.533800206,0.216451284,0.142675295,0.839976411,0.145454077,0.572107752,0.131591362,0.237792007,0.504785485,0.177557997,0.115233947
5,10,NA,2017-07-22,Sample,1,1,0.007998291,0.014906887,0.536550073,0.008274806,0.014906887,0.555099555,146.0885518,NA,NA,52.69038676,NA,12991.02919,NA,10_NA_SS-0000_2017-07-22_Sample_1,5,23.65475789,11.04200758,12.55637167,7.749690467,4.132467956,54432.72517,36.19642946,4.413437966,4.630596981,33.06919088,20.41985858,20.430131,8.905392697,9.25863349,5.217822585,1.321966826,0.535733637,0.538852057,0.909885778,19892.29004,14950.55912,9155.490795,9906.441258,840.2557266,0.363362437,0.273094329,0.167238736,0.18095597,0.015348528,0.37347333,0.280693429,0.171892308,0.185991236,0.015775615,7.492841439,4.629074014,0.226655276,1.00050306,0.617799543,0.400010817,0.186724485,0.212332949,0.131050169,0.069881581,0.653510809,0.305057923,0.346895312,0.214100965,0.114167834,0.913603672,0.121930202,0.564423931,0.144152964,0.24602959,0.564140134,0.255788585,0.127929662
6,01-Dec,NA,2017-08-09,Sample,2,0.25,0.011196722,0.017919266,0.624842662,0.011625447,0.017919266,0.64876805,6.812777753,NA,NA,1.860717319,NA,507.330678,NA,12-1_NA_SS-0000_2017-08-09_Sample_1,6,0.466816442,0.192851561,0.606289614,0.212443229,0.053733078,1360.222924,1.123463568,0.066040909,0.087829199,0.944700898,0.586289298,0.637750075,0.214422981,0.194274762,0.095860307,1.326697446,0.420724893,0.422749484,0.935215064,392.5657625,261.1154401,442.0766701,271.5665068,10.92555989,0.284829153,0.189454345,0.320752178,0.197037198,0.007927125,0.293017072,0.194900547,0.329972768,0.202701382,0.008155005,14.30478339,9.656894259,0.13771727,1.087773693,0.675081474,0.304683837,0.125871217,0.395715808,0.138658394,0.035070745,0.415515425,0.171658046,0.539661126,0.189096678,0.047828055,0.840882539,0.058783312,0.567664224,0.085325693,0.190858865,0.521858754,0.172924844,0.078177167
7,13,NA,2017-07-13,Duplicate,1,1,0.010117358,0.016755806,0.603812104,0.010150434,0.016755806,0.605786083,1.888077855,NA,NA,0.56206803,NA,148.317512,NA,13_NA_SS-0000_2017-07-13_Sample_1,8,0.743611017,0.489314593,1.291784587,0.416057045,0.097361586,2733.774156,2.205216962,0.110171949,0.167376987,1.842192331,1.086953605,1.246183731,0.455413911,0.328636258,0.236787699,1.202357081,0.35529027,0.359079808,0.939601768,625.3340697,662.5178166,941.9060064,531.8463614,19.79655528,0.224827025,0.238195737,0.338644471,0.19121529,0.007117477,0.231503497,0.245269207,0.34870087,0.196893626,0.007328837,16.7210651,11.31126155,0.134311645,1.146492109,0.676467766,0.244759541,0.161057882,0.425190853,0.136945162,0.032046563,0.337205377,0.221889547,0.585785712,0.188669438,0.04415057,0.835379177,0.049959687,0.565107086,0.107376146,0.206516601,0.492900982,0.149026723,0.075900462
8,13,NA,2017-07-13,Sample,3,0.083333333,0.008192698,0.016821061,0.487050021,0.008483468,0.016821061,0.504336089,15.68167727,NA,NA,4.962594074,NA,1282.364812,NA,13_NA_SS-0000_2017-07-13_Sample_1,8,0.743611017,0.489314593,1.291784587,0.416057045,0.097361586,2733.774156,2.205216962,0.110171949,0.167376987,1.842192331,1.086953605,1.246183731,0.455413911,0.328636258,0.236787699,1.202357081,0.35529027,0.359079808,0.939601768,625.3340697,662.5178166,941.9060064,531.8463614,19.79655528,0.224827025,0.238195737,0.338644471,0.19121529,0.007117477,0.231503497,0.245269207,0.34870087,0.196893626,0.007328837,16.7210651,11.31126155,0.134311645,1.146492109,0.676467766,0.244759541,0.161057882,0.425190853,0.136945162,0.032046563,0.337205377,0.221889547,0.585785712,0.188669438,0.04415057,0.835379177,0.049959687,0.565107086,0.107376146,0.206516601,0.492900982,0.149026723,0.075900462
9,14,NA,2017-07-22,Sample,1,1,0.010542562,0.015294056,0.689324157,0.00846172,0.015294056,0.553268559,0.907931767,NA,NA,0.296819574,NA,75.32150575,NA,14_NA_SS-0000_2017-07-22_Sample_1,9,0.069191868,0.022185327,0.039091401,0.027581443,0.043175204,163.1881719,0.11542691,0.041499632,0.021319839,0.099590518,0.059378521,0.060080956,0.026002852,0.02868337,0.010673095,1.479551937,0.591521636,0.59352572,0.849865748,58.18637919,30.03829162,28.50353389,35.25740087,8.778824809,0.361935654,0.186846627,0.177300002,0.219310956,0.054606761,0.374837601,0.193507163,0.183620229,0.22712875,0.056553332,2.399792798,1.447746717,0.35485186,1.011829783,0.603279883,0.343852824,0.110251212,0.194266886,0.137067509,0.214561568,0.599443131,0.192202382,0.338668005,0.238951583,0.374047991,0.86280156,0.35953169,0.520510824,0.092466263,0.225275475,0.514425284,0.248498119,0.184704234
10,19,NA,2017-07-22,Sample,1,1,0.00861718,0.013022814,0.661698819,0.008634061,0.013022814,0.662995042,20.70050748,NA,NA,8.080067477,NA,1896.933385,NA,19_NA_SS-0000_2017-07-22_Sample_1,10,1.567513403,0.499394774,0.444809409,0.46329555,0.841614551,3159.240833,1.998790412,0.833386508,0.423506046,1.803106398,1.154630566,1.0548649,0.471481873,0.625433966,0.220018985,1.428493485,0.663165193,0.663756878,0.838036162,1318.188561,676.1660898,324.3332195,592.2314152,171.1256937,0.427699326,0.219388781,0.105233123,0.192155345,0.055523425,0.442225935,0.226840218,0.108807317,0.198681811,0.057409252,2.16358962,1.265757113,0.401478944,0.913595163,0.585026431,0.410706396,0.130847129,0.11654514,0.12138872,0.220512615,0.784231,0.249848494,0.222539295,0.231787959,0.421061931,0.902098783,0.41694542,0.527751631,0.110076066,0.235883597,0.577664651,0.312906227,0.211881167
