OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,site45,1,52276.000000000000000,11282835.033725844696164,660.855651855468750,1401.759887695312500,740.904235839843750,911.573398230187308,159.969674615034620,47653410.965881273150444,888.979858398437500,1140.765136718750000
2,site1,2,4440.000000000000000,958294.199053920572624,672.000000000000000,1008.796752929687500,336.796752929687500,763.922061885800304,77.378881054608740,3391813.954772953409702,739.416137695312500,880.087384033203080
3,site40alt1,3,5766.000000000000000,1244487.466609213035554,673.494140625000000,962.606506347656250,289.112365722656250,747.234703018976688,56.576999533248639,4308555.297607420012355,732.517608642578125,829.037933349609375
4,site26,4,19694.000000000000000,4250595.936073853634298,607.463073730468750,1222.000000000000000,614.536926269531250,800.271251574262578,117.376510627582235,15760542.028503527864814,773.077056884765625,982.147680664062591
5,site31,5,22490.000000000000000,4854062.283045646734536,634.480895996093750,1403.316162109375000,768.835266113281250,958.977870709467652,181.521157984349827,21567412.312255926430225,950.367370605468750,1228.570861816406250
6,site32,6,39067.000000000000000,8431909.791540430858731,635.041381835937500,1372.643798828125000,737.602416992187500,924.026881657919034,147.550632400543066,36098958.185729920864105,911.747375488281250,1131.090283203125182
7,site30,7,7576.000000000000000,1635143.435142455389723,641.681823730468750,1006.998596191406250,365.316772460937500,779.418367516781586,86.094446215576212,5904873.552307137288153,760.001678466796875,917.005828857421875
8,site42,8,19586.000000000000000,4227286.077177947387099,705.002502441406250,1071.000000000000000,365.997497558593750,885.131073546510265,94.411882898192502,17336177.206481948494911,882.695861816406250,1017.505493164062500
9,site53,9,8104.000000000000000,1749102.745300218928605,614.854431152343750,1227.733032226562500,612.878601074218750,873.260428237537326,147.027456635560071,7076902.510437002405524,851.582122802734375,1068.559570312500000
10,site27,10,4034.000000000000000,870666.396167458500713,565.871765136718750,801.383789062500000,235.512023925781250,680.027837387334330,49.118165034178283,2743232.296020506881177,680.101379394531250,737.647070312500091
11,SDUP150704,11,4272.000000000000000,922034.418549177586101,621.507934570312500,765.000000000000000,143.492065429687500,720.094305974268082,34.023364731567476,3076242.875122073106468,729.171264648437500,762.001446533203193
12,SDDN150704,12,5044.000000000000000,1088656.743249543942511,579.101257324218750,765.000000000000000,185.898742675781250,708.315448757961690,43.326579018809277,3572743.123535158578306,718.328582763671875,760.140954589843773
13,site48,13,5051.000000000000000,1090167.567437241552398,569.869201660156250,765.000000000000000,195.130798339843750,708.132386003100919,43.574723669666767,3576776.681701662950218,718.203674316406250,760.138305664062500
