OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
1,1,1,21,1411.534510180000098,7,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1411.534510179403924,52291.026733361009974
2,2,2,31,809.405471818000024,10,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,809.405471801593876,24208.607324761083873
3,3,3,34,996.153717641999947,12,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,996.153717649028408,19777.626894705470477
4,4,4,47,913.916933591999964,14,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,913.916933589630389,25735.933573810445523
5,5,5,51,1181.763217740000073,16,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1181.763217761832266,40084.368654969177442
6,6,6,52,387.768384582000010,17,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,387.768384574615482,7090.626967236814380
7,7,7,56,1132.887907770000083,18,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1132.887907765769569,33898.518067086726660
8,8,8,57,581.577147392000029,19,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,581.577147381426244,11494.740184839085487
9,9,9,58,459.406355791000010,20,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,459.406355797083222,10252.881291389088801
10,10,10,59,701.147336876000054,21,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,701.147336862764632,15786.455926593000186
