OID_,FID_Ch5_region_surf_geol_NAD83UTMZn8N,Type,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,WatershedArea,LakeAddCheck,Shape_Length,Shape_Area,polygonareakm2
1,0,F,Fluvial,3,,site40alt1,,Y,2612.438379146791704,71743.453372186530032,0.071743453372187
2,2,P,Piedmont,4,,site26,,Y,2925.010194533613230,319576.204070244100876,0.319576204070244
3,2,P,Piedmont,48,,site71,,Y,3633.290435969961891,328070.610711237473879,0.328070610711237
4,2,P,Piedmont,49,,site62,,Y,9620.764770755335121,1715386.277093321550637,1.715386277093321
5,2,P,Piedmont,50,,site13,,Y,7495.566826729083914,1215874.598088118247688,1.215874598088118
6,6,M,Moraine,49,,site62,,Y,1941.971067507321777,133715.426311880873982,0.133715426311881
7,6,M,Moraine,50,,site13,,Y,5593.021094365611134,1041544.497366138733923,1.041544497366139
8,8,G,Glaciogenic,6,,site32,,Y,1780.019854960864677,123973.325025371654192,0.123973325025372
9,8,G,Glaciogenic,7,,site30,,Y,1428.915565418262304,55499.050942307825608,0.055499050942308
10,9,C,Colluvial,1,,site45,,Y,19466.269497749788570,11276919.546127937734127,11.276919546127937
11,9,C,Colluvial,2,,site1,,Y,6129.190582904125222,957737.635043141315691,0.957737635043141
12,9,C,Colluvial,3,,site40alt1,,Y,6733.768612672953168,1170765.502835715189576,1.170765502835715
13,9,C,Colluvial,4,,site26,,Y,13146.257896168803200,3935172.684671253431588,3.935172684671253
14,9,C,Colluvial,5,,site31,,Y,15583.046313083956193,4852182.006669268943369,4.852182006669269
15,9,C,Colluvial,6,,site32,,Y,18835.831322825048119,8306594.930790582671762,8.306594930790583
16,9,C,Colluvial,7,,site30,,Y,7394.070770426079434,1580374.769916682504117,1.580374769916682
17,9,C,Colluvial,47,,S3DNTS7160730,,Y,722.493452136055566,3981.902690391064425,0.003981902690391
18,9,C,Colluvial,49,,site62,,Y,713.290516994290101,19920.230260727403220,0.019920230260727
19,10,A,Alluvial,61,,siteSCoutlet170807,,Y,9979.059321034699678,1618415.026733738603070,1.618415026733738
20,2,P,Piedmont,45,,S3UPTS6160730,,Y,4424.295454276611054,180131.388793088233797,0.180131388793088
21,2,P,Piedmont,47,,S3DNTS7160730,,Y,4424.295454276611054,180131.388793088233797,0.180131388793088
22,2,P,Piedmont,46,,S3INTSINFLOW3160730,,Y,33300.368230095169565,4597460.422582254745066,4.597460422582254
23,2,P,Piedmont,47,,S3DNTS7160730,,Y,33300.368230095169565,4597460.422582254745066,4.597460422582254
24,4,R,Bedrock,60,,siteSCoutlet170710,,Y,676.846525064837579,16739.631751501292456,0.016739631751501
25,4,R,Bedrock,61,,siteSCoutlet170807,,Y,676.846525064837579,16739.631751501292456,0.016739631751501
26,6,M,Moraine,60,,siteSCoutlet170710,,Y,68625.195852765333257,22572660.995135013014078,22.572660995135013
27,6,M,Moraine,61,,siteSCoutlet170807,,Y,68625.195852765333257,22572660.995135013014078,22.572660995135013
28,9,C,Colluvial,45,,S3UPTS6160730,,Y,1933.160845473828203,141615.394750507344725,0.141615394750507
29,9,C,Colluvial,47,,S3DNTS7160730,,Y,1933.160845473828203,141615.394750507344725,0.141615394750507
30,9,C,Colluvial,46,,S3INTSINFLOW3160730,,Y,37092.536925396721927,8037477.374111324548721,8.037477374111324
31,9,C,Colluvial,47,,S3DNTS7160730,,Y,37092.536925396721927,8037477.374111324548721,8.037477374111324
32,9,C,Colluvial,60,,siteSCoutlet170710,,Y,28860.421550422728615,3242746.069161023478955,3.242746069161023
33,9,C,Colluvial,61,,siteSCoutlet170807,,Y,28860.421550422728615,3242746.069161023478955,3.242746069161023
34,10,A,Alluvial,60,,siteSCoutlet170710,,Y,25576.278962495125597,4679506.925582842901349,4.679506925582842
35,10,A,Alluvial,61,,siteSCoutlet170807,,Y,25576.278962495125597,4679506.925582842901349,4.679506925582842
36,2,P,Piedmont,9,,site53,,Y,1280.226534835160464,51063.929523824699572,0.051063929523825
37,2,P,Piedmont,46,,S3INTSINFLOW3160730,,Y,1280.226534835160464,51063.929523824699572,0.051063929523825
38,2,P,Piedmont,47,,S3DNTS7160730,,Y,1280.226534835160464,51063.929523824699572,0.051063929523825
39,2,P,Piedmont,10,,site27,,Y,3650.660768097509845,316330.035277959599625,0.316330035277960
40,2,P,Piedmont,46,,S3INTSINFLOW3160730,,Y,3650.660768097509845,316330.035277959599625,0.316330035277960
41,2,P,Piedmont,47,,S3DNTS7160730,,Y,3650.660768097509845,316330.035277959599625,0.316330035277960
42,2,P,Piedmont,17,,SDDNTS400150704,,Y,514.226429149723458,9991.268657087071915,0.009991268657087
43,2,P,Piedmont,46,,S3INTSINFLOW3160730,,Y,514.226429149723458,9991.268657087071915,0.009991268657087
44,2,P,Piedmont,47,,S3DNTS7160730,,Y,514.226429149723458,9991.268657087071915,0.009991268657087
45,2,P,Piedmont,44,,S2DNTS5160617,,Y,618.614779329798921,5480.178822270215278,0.005480178822270
46,2,P,Piedmont,45,,S3UPTS6160730,,Y,618.614779329798921,5480.178822270215278,0.005480178822270
47,2,P,Piedmont,47,,S3DNTS7160730,,Y,618.614779329798921,5480.178822270215278,0.005480178822270
48,6,M,Moraine,59,,siteSC-9A,,Y,108062.133303428374347,42869137.725640997290611,42.869137725640996
49,6,M,Moraine,60,,siteSCoutlet170710,,Y,108062.133303428374347,42869137.725640997290611,42.869137725640996
50,6,M,Moraine,61,,siteSCoutlet170807,,Y,108062.133303428374347,42869137.725640997290611,42.869137725640996
51,9,C,Colluvial,8,,site42,,Y,11471.621295412012842,4228536.390951587818563,4.228536390951588
52,9,C,Colluvial,46,,S3INTSINFLOW3160730,,Y,11471.621295412012842,4228536.390951587818563,4.228536390951588
53,9,C,Colluvial,47,,S3DNTS7160730,,Y,11471.621295412012842,4228536.390951587818563,4.228536390951588
54,9,C,Colluvial,9,,site53,,Y,9266.579639014862551,1699875.061429466819391,1.699875061429467
55,9,C,Colluvial,46,,S3INTSINFLOW3160730,,Y,9266.579639014862551,1699875.061429466819391,1.699875061429467
56,9,C,Colluvial,47,,S3DNTS7160730,,Y,9266.579639014862551,1699875.061429466819391,1.699875061429467
57,9,C,Colluvial,10,,site27,,Y,6022.073046724824962,550773.338802820770070,0.550773338802821
58,9,C,Colluvial,46,,S3INTSINFLOW3160730,,Y,6022.073046724824962,550773.338802820770070,0.550773338802821
59,9,C,Colluvial,47,,S3DNTS7160730,,Y,6022.073046724824962,550773.338802820770070,0.550773338802821
60,9,C,Colluvial,17,,SDDNTS400150704,,Y,3560.769197762779640,33143.663078957906691,0.033143663078958
61,9,C,Colluvial,46,,S3INTSINFLOW3160730,,Y,3560.769197762779640,33143.663078957906691,0.033143663078958
62,9,C,Colluvial,47,,S3DNTS7160730,,Y,3560.769197762779640,33143.663078957906691,0.033143663078958
63,9,C,Colluvial,44,,S2DNTS5160617,,Y,1009.746725634926747,12126.592978249931548,0.012126592978250
64,9,C,Colluvial,45,,S3UPTS6160730,,Y,1009.746725634926747,12126.592978249931548,0.012126592978250
65,9,C,Colluvial,47,,S3DNTS7160730,,Y,1009.746725634926747,12126.592978249931548,0.012126592978250
66,9,C,Colluvial,59,,siteSC-9A,,Y,60640.326309666132147,5827274.474200355820358,5.827274474200355
67,9,C,Colluvial,60,,siteSCoutlet170710,,Y,60640.326309666132147,5827274.474200355820358,5.827274474200355
68,9,C,Colluvial,61,,siteSCoutlet170807,,Y,60640.326309666132147,5827274.474200355820358,5.827274474200355
69,10,A,Alluvial,59,,siteSC-9A,,Y,26351.959115825131448,5798577.175826875492930,5.798577175826876
