OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length
1,200,,,,,,,,229,243,244,1,1,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,23.225613995301757
2,224,,1,2,,,,,259,244,274,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,481.187083887256051
3,225,,,,,,,,260,275,274,1,1168,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,213.646184897415765
4,226,,1,2,,,,,261,274,276,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,213.481181016723468
5,229,,1,2,,,,,264,279,244,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,552.041477062841068
6,231,,1,2,,,,,267,237,279,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,971.232408291544630
7,260,,,,,,,,306,323,324,1,1167,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,990.190277761749940
8,261,,,,,,,,308,325,279,1,1167,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,582.308804713970972
9,181,,,,,,,,208,220,221,2,1165,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,3154.838141393468504
10,181,,,,,,,,208,220,221,2,1165,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,3154.838141393468504
11,182,,,,,,,,209,222,221,1,1166,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,23.225601783202446
12,182,,,,,,,,209,222,221,1,1166,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,23.225601783202446
13,192,,,,,,,,220,234,235,1,2,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,75.383523084998075
14,192,,,,,,,,220,234,235,1,2,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,75.383523084998075
15,193,,,,,,,,221,236,237,1,2,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,296.039632351612227
16,193,,,,,,,,221,236,237,1,2,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,296.039632351612227
17,195,,1,2,,,,,224,239,237,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,153.703251657388080
18,195,,1,2,,,,,224,239,237,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,153.703251657388080
19,208,,1,2,,,,,238,253,254,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,568.700801201801028
20,208,,1,2,,,,,238,253,254,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,568.700801201801028
21,209,,,,,,,,239,221,254,2,1165,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,805.494699030419838
22,209,,,,,,,,239,221,254,2,1165,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,805.494699030419838
23,231,,1,2,,,,,267,237,279,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,610.930087128585342
24,231,,1,2,,,,,267,237,279,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,610.930087128585342
25,232,,,,,,,,268,282,283,1,1132,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,574.620938388057880
26,232,,,,,,,,268,282,283,1,1132,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,574.620938388057880
27,233,,,,,,,,269,283,284,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,607.907558755312266
28,233,,,,,,,,269,283,284,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,607.907558755312266
29,239,,,,,,,,279,293,239,1,3,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,335.889277668295335
30,239,,,,,,,,279,293,239,1,3,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,335.889277668295335
31,240,,1,2,,,,,280,254,239,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,3393.625764736922520
32,240,,1,2,,,,,280,254,239,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,3393.625764736922520
33,245,,1,2,,,,,286,301,253,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,138.474232599673428
34,245,,1,2,,,,,286,301,253,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,138.474232599673428
35,254,,,,,,,,296,311,284,1,1162,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,802.957916961204205
36,254,,,,,,,,296,311,284,1,1162,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,802.957916961204205
37,257,,,,,,,,299,315,283,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,721.243280163155987
38,257,,,,,,,,299,315,283,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,721.243280163155987
39,289,,,,,,,,345,364,365,2,1150,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,117.789851659514198
40,289,,,,,,,,345,364,365,2,1150,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,117.789851659514198
41,290,,,,,,,,346,366,367,1,1151,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,837.570729641597836
42,290,,,,,,,,346,366,367,1,1151,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,837.570729641597836
43,291,,,,,,,,347,368,367,1,1152,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,112.377933881325589
44,291,,,,,,,,347,368,367,1,1152,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,112.377933881325589
45,297,,,,,,,,354,377,315,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,627.132071429797861
46,297,,,,,,,,354,377,315,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,627.132071429797861
47,300,,,,,,,,358,367,381,2,1153,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,505.114772282986280
48,300,,,,,,,,358,367,381,2,1153,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,505.114772282986280
49,301,,,,,,,,359,381,365,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,447.568119015829097
50,301,,,,,,,,359,381,365,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,447.568119015829097
51,302,,,,,,,,360,382,383,1,1145,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1276.164558767565040
52,302,,,,,,,,360,382,383,1,1145,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1276.164558767565040
53,303,,,,,,,,361,384,377,1,1133,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,24.887948423111528
54,303,,,,,,,,361,384,377,1,1133,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,24.887948423111528
55,307,,,,,,,,365,389,383,1,1146,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1407.528104335541911
56,307,,,,,,,,365,389,383,1,1146,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1407.528104335541911
57,311,,,,,,,,369,393,377,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,158.272474224641940
58,311,,,,,,,,369,393,377,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,158.272474224641940
59,319,,,,,,,,377,404,393,1,1134,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,169.229386296000996
60,319,,,,,,,,377,404,393,1,1134,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,169.229386296000996
61,322,,,,,,,,380,406,407,1,1143,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,363.347103915545688
62,322,,,,,,,,380,406,407,1,1143,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,363.347103915545688
63,323,,,,,,,,381,407,408,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,504.378109924367209
64,323,,,,,,,,381,407,408,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,504.378109924367209
65,326,,,,,,,,384,412,393,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,518.378924296149194
66,326,,,,,,,,384,412,393,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,518.378924296149194
67,330,,,,,,,,388,417,407,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,165.841558019803500
68,330,,,,,,,,388,417,407,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,165.841558019803500
69,338,,,,,,,,397,425,426,1,1144,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1492.524197497594741
