OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
1,1,,site45,,Y,78,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,16226.692244429963466,7484566.013341137208045,7.484566013341137
2,1,,site45,,Y,79,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,11049.943839934934658,3792353.527096241246909,3.792353527096241
3,2,,site1,,Y,79,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,6129.190582904125222,957737.635043141315691,0.957737635043141
4,3,,site40alt1,,Y,79,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,7194.044192891598868,1242508.954421095084399,1.242508954421095
5,4,,site26,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,4751.651286784388503,705008.192712035146542,0.705008192712035
6,4,,site26,,Y,76,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,10949.213623514639039,3549740.694274196401238,3.549740694274196
7,5,,site31,,Y,69,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,2750.419852512489342,280093.306480058876332,0.280093306480059
8,5,,site31,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,9729.463708476967440,3062749.056916398927569,3.062749056916399
9,5,,site31,,Y,76,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,8199.785247945836090,1509339.654565932927653,1.509339654565933
10,6,,site32,,Y,69,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,6708.128686912340527,1190516.244845621287823,1.190516244845621
11,6,,site32,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1127.921590800843660,41138.825482033702428,0.041138825482034
12,6,,site32,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,6009.204099094914454,1396981.764177778270096,1.396981764177778
13,6,,site32,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,11035.535372634722080,4353059.731959868222475,4.353059731959868
14,6,,site32,,Y,76,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,6162.821583594610274,1437970.895978855667636,1.437970895978856
15,7,,site30,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,3239.564664309045838,354464.554398925276473,0.354464554398925
16,7,,site30,,Y,76,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,6883.614416566779255,1281409.262716062134132,1.281409262716062
17,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,722.493452136055566,3981.902690391064425,0.003981902690391
18,48,,site71,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3633.290435969961891,328070.610711237473879,0.328070610711237
19,49,,site62,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,10889.700180706724495,1869021.932427491294220,1.869021932427491
20,50,,site13,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,8995.516517439187737,2257419.096685689873993,2.257419096685690
21,61,,siteSCoutlet170807,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,9979.059321034699678,1618415.026733738603070,1.618415026733738
22,6,,site32,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,430.350178578051157,3981.210076203170956,0.003981210076203
