"","cat","Slump Site","Stream Location","Transect Location","Sampling Date","Sample Type","d13C","PercPOC","F14C_A","F14Cerror_A"
"1","HOL","CB","HW","HOL",NA,NA,NA,NA,0.00842818961394227,NA
"2","HOL","CB","HW","HOL",NA,NA,NA,NA,0.0473981460071102,NA
"3","HOL","SB","HW","HOL",2017-07-12,"Sample",-26.8158952199667,0.7396852721262,0.4912,0.0022
"4","HOL","SC","HW","HOL",2017-07-13,"Sample",-26.8297520969638,1.58263333641507,0.0066,3e-04
"5","HOL","SC","HW","HOL",2017-08-08,"Sample",-26.515627475523,2.8632008558503,NA,NA
"6","HOL","SD","HW","HOL",2017-07-13,"Sample",-26.7075055096378,1.41543780544242,NA,NA
"7","HOL","SE","HW","HOL",2017-07-14,"Sample",-26.6125141460486,1.90452169869846,NA,NA
"8","HOL","SF","HW","HOL",2017-08-03,"Sample",-26.9213931808728,1.84968939211727,NA,NA
"9","HOL","Wilson","HW","HOL",NA,NA,NA,NA,0.00741300892232058,NA
"10","LAL","SB","HW","BHO",2017-07-12,"Sample",-26.476461922941,2.9023312370332,0.313,0.0017
"11","LAL","SC","HW","AHO",2017-08-08,"Sample",-26.5104683003959,4.86797403921818,NA,NA
"12","LAL","SC","HW","BHO",2017-07-13,"Sample",-26.2164834176059,2.03135540844192,0.6031,0.0028
"13","LAL","SC","HW","BHO",2017-08-08,"Sample",-26.5736329072559,1.43537675020606,NA,NA
"14","LAL","SD","HW","BHO",2017-07-13,"Sample",-26.7278605016417,1.13865869133494,NA,NA
"15","LAL","SF","HW","AHO",2017-08-03,"Sample",-26.0620596374255,2.62919060845547,NA,NA
"16","LAL","SF","HW","BHO",2017-08-03,"Sample",-26.9104202421752,4.45661957662501,NA,NA
"17","LAL","SH","HW","AHO",2017-08-08,"Sample",-26.505220775704,4.99219986449936,NA,NA
"18","LAL","SH","HW","BHO",2017-08-08,"Sample",-26.3155915108524,1.52869426174145,NA,NA
"19","PLE","CB","HW","PLE",NA,NA,NA,NA,0.00654613246931981,NA
"20","PLE","CB","HW","PLE",NA,NA,NA,NA,0.00748720331589252,NA
"21","PLE","SB","HW","PLE",2017-07-12,"Sample",-26.5723397450581,1.16899557652916,0.0038,3e-04
"22","PLE","SC","HW","PLE",2017-07-13,"Sample",-26.8316772412255,1.69965896184191,0.0026,2e-04
"23","PLE","SC","HW","PLE",2017-08-08,"Sample",-26.6944517340622,1.41879060900643,NA,NA
